scope,addr,group,group_basis,comment,evidence
OemNetworkDxe,0x2D0,OemNetworkDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemNetworkDxe/000002D0.asm; bios/decompiled/OemNetworkDxe.c
OemOcDxe,0x2D0,OemOcDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemOcDxe/000002D0.asm; bios/decompiled/OemOcDxe.c
OemPowerModeDxe,0x2D0,OemPowerModeDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemPowerModeDxe/000002D0.asm; bios/decompiled/OemPowerModeDxe.c
OemQkeyDxe,000002D0,OemQkeyDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemQkeyDxe/000002D0.asm; bios/decompiled/OemQkeyDxe.c
OemSWBoardIDDxe,000002D0,OemSWBoardIDDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemSWBoardIDDxe/000002D0.asm; bios/decompiled/OemSWBoardIDDxe.c
OemTurboModeDxe,0x2D0,OemTurboModeDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemTurboModeDxe/000002D0.asm; bios/decompiled/OemTurboModeDxe.c
OemUniWillVariableDxe,000002D0,OemUniWillVariableDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemUniWillVariableDxe/000002D0.asm; bios/decompiled/OemUniWillVariableDxe.c
OemVariableHookDxe,0x2D0,OemVariableHookDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemVariableHookDxe/000002D0.asm; bios/decompiled/OemVariableHookDxe.c
OemApControlDxe,0x2E0,OemApControlDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemApControlDxe/000002E0.asm; bios/decompiled/OemApControlDxe.c
OemDDSSupportDxe,000002E0,OemDDSSupportDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemDDSSupportDxe/000002E0.asm; bios/decompiled/OemDDSSupportDxe.c
OemDisplayModeDxe,0x2E0,OemDisplayModeDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemDisplayModeDxe/000002E0.asm; bios/decompiled/OemDisplayModeDxe.c
OemGlobalNvsDxe,0x2E0,delay-loops,type,the `type` column already names this family,bios/ghidra/listings/OemGlobalNvsDxe/000002E0.asm; bios/decompiled/OemGlobalNvsDxe.c
OemI2cDevices,000002E0,OemI2cDevices,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemI2cDevices/000002E0.asm; bios/decompiled/OemI2cDevices.c
OemManufactureModeDxe,0x2E0,OemManufactureModeDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemManufactureModeDxe/000002E0.asm; bios/decompiled/OemManufactureModeDxe.c
OemNetworkDxe,0x2E0,OemNetworkDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemNetworkDxe/000002E0.asm; bios/decompiled/OemNetworkDxe.c
OemOcDxe,0x2E0,OemOcDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemOcDxe/000002E0.asm; bios/decompiled/OemOcDxe.c
OemPowerModeDxe,0x2E0,OemPowerModeDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemPowerModeDxe/000002E0.asm; bios/decompiled/OemPowerModeDxe.c
OemQkeyDxe,000002E0,OemQkeyDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemQkeyDxe/000002E0.asm; bios/decompiled/OemQkeyDxe.c
OemSWBoardIDDxe,000002E0,OemSWBoardIDDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemSWBoardIDDxe/000002E0.asm; bios/decompiled/OemSWBoardIDDxe.c
OemTurboModeDxe,0x2E0,OemTurboModeDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemTurboModeDxe/000002E0.asm; bios/decompiled/OemTurboModeDxe.c
OemUniWillVariableDxe,000002E0,OemUniWillVariableDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemUniWillVariableDxe/000002E0.asm; bios/decompiled/OemUniWillVariableDxe.c
OemVariableHookDxe,0x2E0,OemVariableHookDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemVariableHookDxe/000002E0.asm; bios/decompiled/OemVariableHookDxe.c
Setup,0x000002E0,Setup,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/Setup/000002E0.asm; bios/decompiled/Setup.c
OemDDSSupportDxe,000002F0,OemDDSSupportDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemDDSSupportDxe/000002F0.asm; bios/decompiled/OemDDSSupportDxe.c
OemDisplayModeDxe,0x2F0,OemDisplayModeDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemDisplayModeDxe/000002F0.asm; bios/decompiled/OemDisplayModeDxe.c
OemGlobalNvsDxe,0x2F0,OemGlobalNvsDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemGlobalNvsDxe/000002F0.asm; bios/decompiled/OemGlobalNvsDxe.c
OemI2cDevices,000002F0,OemI2cDevices,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemI2cDevices/000002F0.asm; bios/decompiled/OemI2cDevices.c
OemManufactureModeDxe,0x2F0,OemManufactureModeDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemManufactureModeDxe/000002F0.asm; bios/decompiled/OemManufactureModeDxe.c
OemNetworkDxe,0x2F0,OemNetworkDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemNetworkDxe/000002F0.asm; bios/decompiled/OemNetworkDxe.c
OemOcDxe,0x2F0,OemOcDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemOcDxe/000002F0.asm; bios/decompiled/OemOcDxe.c
OemQkeyDxe,000002F0,OemQkeyDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemQkeyDxe/000002F0.asm; bios/decompiled/OemQkeyDxe.c
OemSWBoardIDDxe,000002F0,OemSWBoardIDDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemSWBoardIDDxe/000002F0.asm; bios/decompiled/OemSWBoardIDDxe.c
OemTurboModeDxe,0x2F0,OemTurboModeDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemTurboModeDxe/000002F0.asm; bios/decompiled/OemTurboModeDxe.c
OemUniWillVariableDxe,000002F0,OemUniWillVariableDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemUniWillVariableDxe/000002F0.asm; bios/decompiled/OemUniWillVariableDxe.c
OemVariableHookDxe,0x2F0,OemVariableHookDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemVariableHookDxe/000002F0.asm; bios/decompiled/OemVariableHookDxe.c
OemApControlDxe,0x300,OemApControlDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemApControlDxe/00000300.asm; bios/decompiled/OemApControlDxe.c
OemDDSSupportDxe,00000300,OemDDSSupportDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemDDSSupportDxe/00000300.asm; bios/decompiled/OemDDSSupportDxe.c
OemDgpuBoardIDDxe,00000300,delay-loops,type,the `type` column already names this family,bios/ghidra/listings/OemDgpuBoardIDDxe/00000300.asm; bios/decompiled/OemDgpuBoardIDDxe.c
OemDisplayModeDxe,0x300,OemDisplayModeDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemDisplayModeDxe/00000300.asm; bios/decompiled/OemDisplayModeDxe.c
OemGlobalNvsDxe,0x300,OemGlobalNvsDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemGlobalNvsDxe/00000300.asm; bios/decompiled/OemGlobalNvsDxe.c
OemI2cDevices,00000300,OemI2cDevices,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemI2cDevices/00000300.asm; bios/decompiled/OemI2cDevices.c
OemManufactureModeDxe,0x300,OemManufactureModeDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemManufactureModeDxe/00000300.asm; bios/decompiled/OemManufactureModeDxe.c
OemNetworkDxe,0x300,OemNetworkDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemNetworkDxe/00000300.asm; bios/decompiled/OemNetworkDxe.c
OemOcDxe,0x300,OemOcDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemOcDxe/00000300.asm; bios/decompiled/OemOcDxe.c
OemPowerModeDxe,0x300,OemPowerModeDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemPowerModeDxe/00000300.asm; bios/decompiled/OemPowerModeDxe.c
OemQkeyDxe,00000300,OemQkeyDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemQkeyDxe/00000300.asm; bios/decompiled/OemQkeyDxe.c
OemSWBoardIDDxe,00000300,OemSWBoardIDDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemSWBoardIDDxe/00000300.asm; bios/decompiled/OemSWBoardIDDxe.c
OemServiceDxe,00000300,delay-loops,type,the `type` column already names this family,bios/ghidra/listings/OemServiceDxe/00000300.asm; bios/decompiled/OemServiceDxe.c
OemTurboModeDxe,0x300,OemTurboModeDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemTurboModeDxe/00000300.asm; bios/decompiled/OemTurboModeDxe.c
OemUniWillVariableDxe,00000300,OemUniWillVariableDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemUniWillVariableDxe/00000300.asm; bios/decompiled/OemUniWillVariableDxe.c
OemVariableHookDxe,0x300,OemVariableHookDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemVariableHookDxe/00000300.asm; bios/decompiled/OemVariableHookDxe.c
OemACPIDriverHookDxe,00000310,OemACPIDriverHookDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemACPIDriverHookDxe/00000310.asm; bios/decompiled/OemACPIDriverHookDxe.c
OemApControlDxe,0x310,OemApControlDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemApControlDxe/00000310.asm; bios/decompiled/OemApControlDxe.c
OemDDSSupportDxe,00000310,OemDDSSupportDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemDDSSupportDxe/00000310.asm; bios/decompiled/OemDDSSupportDxe.c
OemDgpuBoardIDDxe,00000310,OemDgpuBoardIDDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemDgpuBoardIDDxe/00000310.asm; bios/decompiled/OemDgpuBoardIDDxe.c
OemGlobalNvsDxe,0x310,OemGlobalNvsDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemGlobalNvsDxe/00000310.asm; bios/decompiled/OemGlobalNvsDxe.c
OemI2cDevices,00000310,OemI2cDevices,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemI2cDevices/00000310.asm; bios/decompiled/OemI2cDevices.c
OemKbLightDxe,0x310,OemKbLightDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemKbLightDxe/00000310.asm; bios/decompiled/OemKbLightDxe.c
OemKbLightSupportDxe,00000310,OemKbLightSupportDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemKbLightSupportDxe/00000310.asm; bios/decompiled/OemKbLightSupportDxe.c
OemManufactureModeDxe,0x310,OemManufactureModeDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemManufactureModeDxe/00000310.asm; bios/decompiled/OemManufactureModeDxe.c
OemNetworkDxe,0x310,OemNetworkDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemNetworkDxe/00000310.asm; bios/decompiled/OemNetworkDxe.c
OemPowerModeDxe,0x310,OemPowerModeDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemPowerModeDxe/00000310.asm; bios/decompiled/OemPowerModeDxe.c
OemQkeyDxe,00000310,OemQkeyDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemQkeyDxe/00000310.asm; bios/decompiled/OemQkeyDxe.c
OemSWBoardIDDxe,00000310,OemSWBoardIDDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemSWBoardIDDxe/00000310.asm; bios/decompiled/OemSWBoardIDDxe.c
OemTurboModeDxe,0x310,OemTurboModeDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemTurboModeDxe/00000310.asm; bios/decompiled/OemTurboModeDxe.c
OemUniWillVariableDxe,00000310,OemUniWillVariableDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemUniWillVariableDxe/00000310.asm; bios/decompiled/OemUniWillVariableDxe.c
OemUsbLightBarDxe,00000310,OemUsbLightBarDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemUsbLightBarDxe/00000310.asm; bios/decompiled/OemUsbLightBarDxe.c
OemVariableHookDxe,0x310,OemVariableHookDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemVariableHookDxe/00000310.asm; bios/decompiled/OemVariableHookDxe.c
OverclockInterface,0x310,OverclockInterface,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OverclockInterface/00000310.asm; bios/decompiled/OverclockInterface.c
DxeOverClock,0x00000320,delay-loops,type,the `type` column already names this family,bios/ghidra/listings/DxeOverClock/00000320.asm; bios/decompiled/DxeOverClock.c
OemDgpuBoardIDDxe,00000320,OemDgpuBoardIDDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemDgpuBoardIDDxe/00000320.asm; bios/decompiled/OemDgpuBoardIDDxe.c
OemGlobalNvsDxe,0x320,OemGlobalNvsDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemGlobalNvsDxe/00000320.asm; bios/decompiled/OemGlobalNvsDxe.c
OemServiceDxe,00000320,OemServiceDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemServiceDxe/00000320.asm; bios/decompiled/OemServiceDxe.c
Setup,0x00000320,Setup,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/Setup/00000320.asm; bios/decompiled/Setup.c
OemKbLightSupportDxe,00000324,OemKbLightSupportDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemKbLightSupportDxe/00000324.asm; bios/decompiled/OemKbLightSupportDxe.c
OemDDSSupportDxe,0000032C,OemDDSSupportDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemDDSSupportDxe/0000032C.asm; bios/decompiled/OemDDSSupportDxe.c
OemHooks,0x32C,OemHooks,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemHooks/0000032C.asm; bios/decompiled/OemHooks.c
