program,addr,name,sample,insns,linear,in_c,missing,outcome
bank0,541D,stage_009b_block_dispatch_51c8,annotation,16,0094 0096 009B 0A4B,0094 0096 009B 0A4B,,agree
bank0,549B,default_009d_bf_dispatch_4e2c,annotation,2,009F,009F,,agree
bank0,54C2,dispatch_to_4ecd,annotation,0,,,,vacuous
bank0,703D,read_byte_by_tag_r3,annotation,0,,,,vacuous
bank0,7049,write_byte_by_tag_r3,annotation,0,,,,vacuous
bank0,705B,write_byte_offset_by_tag_r3,annotation,1,,,,vacuous
bank0,708F,div_r6r4_by_r5_16bit,annotation,0,,,,vacuous
bank0,724B,normalize_sign_pair_4byte,annotation,2,,,,vacuous
bank0,8000,clear_1654_block_load_1900,annotation,11,1654 1655 1656 1657 1900,1654 1655 1656 1657 1900,,agree
bank0,8016,write_1900_twice_set_1901,annotation,4,1901,1901,,agree
bank0,801D,load_a0_fall_into_801f,annotation,1,,,,vacuous
bank0,801F,store_1901,annotation,1,,,,vacuous
bank0,8020,write_15_to_1902,annotation,3,1902,1902,,agree
bank0,8026,write_bcb6_result_to_1906,annotation,2,1905,,1905,disagree
bank0,8038,index_table_base,annotation,0,,,,vacuous
bank0,8044,ajmp_into_83ff_tail,annotation,0,,,,vacuous
bank0,8048,unresolved_midstream_bytes,annotation,2,,,,vacuous
bank0,8054,index_case_00,annotation,2,1904,1904,,agree
bank0,806C,store_byte_through_0a59_into_0600,annotation,4,0601 0A59,0601 0A59,,agree
bank0,8094,index_case_01,annotation,2,1906,1906,,agree
bank0,80D7,index_case_02,annotation,2,1909,1909,,agree
bank0,811A,index_case_03,annotation,2,190C,190C,,agree
bank0,815D,index_case_04,annotation,2,1904,1904,,agree
bank0,819D,index_case_05,annotation,2,1906,1906,,agree
bank0,81DF,index_case_06,annotation,2,1909,1909,,agree
bank0,821F,index_case_epilogue,annotation,0,,,,vacuous
bank0,8274,index_table_default,annotation,2,08E1,08E1,,agree
bank0,8398,return_trampoline_8294,annotation,0,,,,vacuous
bank0,83D6,ring_push_0990,annotation,4,09BF,09BF,,agree
bank0,83FF,sync_0788_and_07d4_from_09e9,annotation,2,080F,080F,,agree
bank0,849C,return_trampoline_83ff,annotation,0,,,,vacuous
bank0,8648,clear_200b,annotation,8,200B,200B,,agree
bank0,8653,seed_fan_table_base,annotation,8,08E6,08E6,,agree
bank0,8749,mode_tick_084c_07a5_09ee,annotation,0,,,,vacuous
bank0,888D,fan_table_mailbox_handler,annotation,3,0F5D,0F5D,,agree
bank0,8931,threshold_cascade_from_08eb_085f,annotation,3,08EB,,08EB,disagree
bank0,8939,store_200_via_dptr_then_8f09,annotation,0,,,,vacuous
bank0,893E,store_a_via_dptr_then_jump_8f09,annotation,1,,,,vacuous
bank0,8C46,ramp_1804_1809_toward_0461_0469,annotation,5,0469 0787,0469 0787,,agree
bank0,8DE0,ramp_1804_toward_0670_and_set_1809,annotation,4,0670,0670,,agree
bank0,8F03,call_bb28_on_1804,annotation,1,1804,1804,,agree
bank0,8F09,copy_dptr_byte_to_075c,annotation,3,075C,,075C,disagree
bank0,8F0E,return_trampoline,annotation,0,,,,vacuous
bank0,8F0F,store_a_to_dptr_then_075c_and_notify,annotation,5,075C,,075C,disagree
bank0,8F20,state_0817_dispatch,annotation,2,081E,081E,,agree
bank0,8FDB,state_0817_fallthrough,annotation,0,,,,vacuous
bank0,9000,ljmp_703d,annotation,0,,,,vacuous
bank0,9006,read_dptr_byte,annotation,1,,,,vacuous
bank0,9007,word_nonzero_check_tail,annotation,0,,,,vacuous
bank0,900D,clear_081e_after_c2a2,annotation,0,,,,vacuous
bank0,9015,advance_dptr_to_081f,annotation,1,,,,vacuous
bank0,9016,load_constant_14,annotation,1,,,,vacuous
bank0,9018,store_14_then_select_0817,annotation,2,0817,0817,,agree
bank0,901C,write_1_to_dptr,annotation,2,,,,vacuous
bank0,902A,write_2_to_0817,annotation,3,0817,0817,,agree
bank0,9040,bare_ret_9040,annotation,0,,,,vacuous
bank0,9041,store_r7_to_0850_then_jump_1648,annotation,3,0850,0850,,agree
bank0,9049,countdown_0806_and_branch_on_0490,annotation,2,0490,0490,,agree
bank0,909B,update_flag_bits_in_0985,annotation,2,045B,,045B,disagree
bank0,90FE,update_flag_bits_in_0723,annotation,2,0490,0490,,agree
bank0,9167,gate_on_074c_then_dispatch,annotation,2,074C,074C,,agree
bank0,91C5,config_init_from_ba36_ba46,annotation,0,,,,vacuous
bank0,924B,bare_ret_924b,annotation,0,,,,vacuous
bank0,924C,set_0838_0839_0832_on_049f_bit2,annotation,2,049F,,049F,disagree
bank0,9334,seed_tcc_defaults_from_ba36,annotation,2,06E6,06E6,,agree
bank0,93FE,load_r7_into_a,annotation,1,,,,vacuous
bank0,93FF,select_table_byte_against_044f,annotation,0,,,,vacuous
bank0,948D,code_byte_to_0a4a_then_push_r7,annotation,5,0786 0A4A,0A4A,0786,disagree
bank0,94AF,store_r7_to_098c_and_0463,annotation,3,098C,098C,,agree
bank0,94C0,set_07c4_bit4_from_r7,annotation,2,07C4,,07C4,disagree
bank0,94D0,copy_code_table_into_0730_07a7,annotation,7,07D3 0A50,0A50,07D3,disagree
bank0,95DD,fill_08xx_from_code_table,annotation,0,,,,vacuous
bank0,96AD,apply_oem_overrides_then_fill_08xx,annotation,2,0741,,0741,disagree
bank0,98FB,set_0985_bit4,annotation,4,0985,,0985,disagree
bank0,9902,clamp_08ac_up_to_08bb,annotation,7,08AC 08BB,08AC 08BB,,agree
bank0,9917,dispatch_on_0a50,annotation,3,0A50,0A50,,agree
bank0,99A7,clamp_0a53_0a54_down_to_08c4_08c5,annotation,17,0873 087B 08C4 0A53 0A54,0873 087B 08C4 0A53 0A54,,agree
bank0,99ED,copy_08c7_08c8_08c9_into_087x,annotation,9,0873 087B 08C7 08C8 08C9,0873 087B 08C7 08C8 08C9,,agree
bank0,9A00,copy_dptr_to_088b_and_08bb_to_08ba,annotation,7,088B 08BA 08BB,088B 08BA 08BB,,agree
bank0,9A0E,mul_div_08ea_then_sub_044b_selected,annotation,6,08EA,08EA,,agree
bank0,9A7B,store_bd20_result_masked_7f,annotation,0,,,,vacuous
bank0,9A86,call_ba15_then_write_02_to_044b,annotation,0,,,,vacuous
bank0,9A90,call_bd20_with_03_then_or_80_into_dptr,annotation,0,,,,vacuous
bank0,9A9C,write_04_to_044b_and_set_08e2_bit7,annotation,0,,,,vacuous
bank0,9AAD,FUN_CODE_9aad,stride,1,,,,vacuous
bank0,9BFD,forward_to_9a86,annotation,0,,,,vacuous
bank0,9C00,clear_09e9_unless_0743_bit2,annotation,1,,,,vacuous
bank0,9C1D,clear_two_bytes_at_dptr_then_9a90,annotation,4,,,,vacuous
bank0,9C24,reset_08ad_08bf_and_clear_08e2_bit7,annotation,1,,,,vacuous
bank0,9C47,ret_only_9c47,annotation,0,,,,vacuous
bank0,9CA6,gate_06e6_442_then_sync_046a_from_086b,annotation,2,06E6,06E6,,agree
bank0,9D9A,shared_return_stub_9d9a,annotation,0,,,,vacuous
bank0,9D9B,compute_level_blocks_086b_086c_086e,annotation,1,,,,vacuous
bank0,A00E,seed_0872_087a_088a_then_select_level,annotation,9,0723 0985,,0723 0985,disagree
bank0,A169,clear_0983_bit1_then_0xa1c8,annotation,4,0983,0983,,agree
bank0,A172,clear_08a9_08aa_then_0xa1c8,annotation,0,,,,vacuous
bank0,A1A8,set_state_bytes_then_0xa1c8,annotation,18,0723 08A7 08A8 0983 0985,0983,0723 08A7 08A8 0985,disagree
bank0,A1C8,select_code_table_entry_and_store_0872_087a_088a,annotation,0,,,,vacuous
bank0,A2E0,step_0859_then_toggle_0858_bit0,annotation,2,06E6,06E6,,agree
bank0,A312,gate_0494_then_dispatch_0851_and_7,annotation,2,0494,0494,,agree
bank0,A374,send_f381_then_set_0890_to_0a,annotation,2,0890,,0890,disagree
bank0,A3C3,on_0767_bit3_send_f160_then_896a,annotation,2,0767,,0767,disagree
bank0,A425,shared_return_stub_a425,annotation,0,,,,vacuous
bank0,A4D6,zero_1803_1805_1808_then_set_0852_0854_to_ff,annotation,3,1803,1803,,agree
bank0,A663,gate_0767_06e6_0741_then_dispatch_076f,annotation,2,0767,,0767,disagree
bank0,A678,forward_to_a426,annotation,0,,,,vacuous
bank0,A6C6,table_63be_lookup_into_1808_then_inc_0857,annotation,0,,,,vacuous
bank0,A71A,clear_0857_and_076f,annotation,5,076F 0857,076F 0857,,agree
bank0,A725,write_0857_from_acc,annotation,2,0857,0857,,agree
bank0,A72A,gate_a747_on_06c2_0766,annotation,2,06C2,,06C2,disagree
bank0,A73B,call_a747,annotation,0,,,,vacuous
bank0,A73F,store_r7_at_6a_then_jump_1666,annotation,3,,,,vacuous
bank0,A747,stage_0769_076e_convert_to_1803,annotation,2,073C,073C,,agree
bank0,A844,update_0476_flags,annotation,3,0398 0768,0398,0768,disagree
bank0,A96B,clear_073f_and_0899,annotation,0,,,,vacuous
bank0,A97B,dispatch_on_06e6_and_0741,annotation,2,06E6,06E6,,agree
bank0,AA90,call_2990_1e1a_fixed_sequence,annotation,1,,,,vacuous
bank0,AAC6,advance_0d14_state,annotation,2,07A6,,07A6,disagree
bank0,AB6D,shared_noop_ret,annotation,0,,,,vacuous
bank0,AB6E,set_06e2_bit0_from_c412,annotation,2,06E6,06E6,,agree
bank0,AB9E,set_0751_and_07a6_bits,annotation,2,0782,,0782,disagree
bank0,AC08,dispatch_on_0751_bits,annotation,2,06E6,06E6,,agree
bank0,AC4A,toggle_08e2_bit4,annotation,0,,,,vacuous
bank0,ACB4,reset_xdata_flags_and_07d5_to_ff,annotation,37,,,,vacuous
bank0,ADA3,write_0a47_from_r7,annotation,6,0A47 0A4A,0A47 0A4A,,agree
bank0,ADAE,dispatch_on_0a47,annotation,3,0A47,0A47,,agree
bank0,AE6D,set_08ec_bit0_clear_bit4,annotation,7,08EC,08EC,,agree
bank0,AE79,set_08ec_bit4_clear_bit0,annotation,7,08EC,08EC,,agree
bank0,AE87,build_0791_0793_0794_then_branch,annotation,0,,,,vacuous
bank0,AEC0,build_0795_0799_then_set_08ec,annotation,4,0A48,0A48,,agree
bank0,AF27,fill_0790_0791_0793_via_calls,annotation,0,,,,vacuous
bank0,AF66,set_08ec_bit1_clear_bit5,annotation,7,08EC,08EC,,agree
bank0,AF72,set_08ec_bit5_clear_bit1,annotation,7,08EC,08EC,,agree
bank0,AF7D,decrement_0a4a_then_redispatch,annotation,5,0A4A,0A4A,,agree
bank0,AF8A,init_0a48_and_0a59_blocks,annotation,23,0A48 0A4B 0A59,0A48 0A4B 0A59,,agree
bank0,AFCE,copy_0a4b_0a4c_to_079b_079c,annotation,1,,,,vacuous
bank0,AFF2,call_445e_40_88_then_load_0a49,annotation,2,,,,vacuous
bank0,B008,read_0a4b_after_call_445e_0c,annotation,1,,,,vacuous
bank0,B012,read_0a4b_after_call_445e_08,annotation,1,,,,vacuous
bank0,B01C,read_0a4b_after_call_445e_0c_b01c,annotation,1,,,,vacuous
bank0,B026,set_dptr_0a4b_after_call_445e_08,annotation,1,,,,vacuous
bank0,B02F,set_dptr_0a4b_after_call_445e_08_b02f,annotation,1,,,,vacuous
bank0,B038,read_0a4b_after_call_445e_0c_b038,annotation,1,,,,vacuous
bank0,B053,clear_16f1_bit5_then_store_0x80_pair,annotation,9,1649 164A 16F1,1649 164A 16F1,,agree
bank0,B065,ten_count_gate_then_set_1300_and_200f,annotation,2,0440,,0440,disagree
bank0,B0DC,sync_0983_bit5_against_support_2_bit4,annotation,0,,,,vacuous
bank0,B112,check_0xB112,annotation,2,0497,0497,,agree
bank0,B12C,manual_ctrl_profile_gate,annotation,6,0741 078E,078E,0741,disagree
bank0,B158,charge_target_update,annotation,6,0438 0439 0A48,0A48,0438 0439,disagree
bank0,B1F0,charge_stress_update,annotation,7,0A4E 0A4F,0A4E 0A4F,,agree
bank0,B35E,charge_target_minus_r3_times_0a47,annotation,8,0A47,0A47,,agree
bank0,B38D,unresolved_b38d,annotation,0,,,,vacuous
bank0,B38E,step_1802_toward_bf12_limited_by_09cd,annotation,2,0456,,0456,disagree
bank0,B3E4,call_c470_then_clear_0984_bit0,annotation,0,,,,vacuous
bank0,B3F0,rewrite_dptr_byte_ff_at_f0_else_count_0988,annotation,2,,,,vacuous
bank0,B40C,zero_xdata_block_ptr_r6r7_count_r4r5,annotation,40,0A56 0A58 0A5A 0A5B,0A56 0A58 0A5A 0A5B,,agree
bank0,B461,zero_96_bytes_at_0f00,annotation,4,,,,vacuous
bank0,B5B2,clear_08eb_bit5_09e6_09e7_08a1_089c_089d,annotation,15,08A1 08EB 09E6 09E7,08A1,08EB 09E6 09E7,disagree
bank0,B5CC,store_a_to_089c_and_089d,annotation,4,089C,089C,,agree
bank0,B5D2,unresolved_b5d2,annotation,0,,,,vacuous
bank0,B5D3,FUN_CODE_b5d3,stride,6,0602,0602,,agree
bank0,B716,clear_08eb_bit3_09e6_09e7_08a2_089e_089f,annotation,15,08A2 08EB 09E6 09E7,,08A2 08EB 09E6 09E7,disagree
bank0,B730,store_a_to_089e_and_089f,annotation,4,089E,,089E,disagree
bank0,B736,unresolved_b736,annotation,0,,,,vacuous
bank0,B82E,clear_08eb_bit6_and_zero_08a0,annotation,7,08A0 08EB,,08A0 08EB,disagree
bank0,B889,09ee_bit1_edge_drives_0897_countdown,annotation,2,07A4,07A4,,agree
bank0,B8C0,test_0770_equals_04,annotation,2,0770,0770,,agree
bank0,B8CD,test_0770_equals_08,annotation,2,0770,0770,,agree
bank0,B8DA,test_0770_equals_18,annotation,2,0770,0770,,agree
bank0,B8E7,test_0770_equals_09,annotation,2,0770,0770,,agree
bank0,B8F4,test_0770_equals_0c,annotation,2,0770,0770,,agree
bank0,B901,test_0770_equals_06,annotation,2,0770,0770,,agree
bank0,B90E,test_0770_equals_07,annotation,2,0770,0770,,agree
bank0,B91B,test_0770_equals_0e,annotation,2,0770,0770,,agree
bank0,B928,test_0770_equals_0a,annotation,2,0770,0770,,agree
bank0,B935,movc_lookup_set_dptr_08c1,annotation,2,08C1,08C1,,agree
bank0,B939,store_a_to_dptr_b939,annotation,1,,,,vacuous
bank0,B93A,set_dptr_0a51_b93a,annotation,1,0A51,,0A51,disagree
bank0,B93D,load_dptr_be16_from_xdata,annotation,7,,,,vacuous
bank0,B947,load_r3_r7_from_0a48_store_a,annotation,9,0A48 0A49,,0A48 0A49,disagree
bank0,B955,set_dptr_0a59_b955,annotation,1,0A59,0A59,,agree
bank0,B958,write_4_bytes_ending_0a_4b_00,annotation,10,,,,vacuous
bank0,B965,add_r6_r7_to_0a58_pair_then_halve,annotation,23,0A58,0A58,,agree
bank0,B983,store_a_to_dptr_b983,annotation,1,,,,vacuous
bank0,B984,set_dptr_0a51_b984,annotation,1,0A51,,0A51,disagree
bank0,B987,read_dptr_byte_into_r6,annotation,2,,,,vacuous
bank0,B989,finish_dptr_be16_load,annotation,4,,,,vacuous
bank0,B990,read_dptr_byte_then_set_dptr_0792,annotation,2,0792,,0792,disagree
bank0,B994,store_a_to_dptr_b994,annotation,1,,,,vacuous
bank0,B995,load_r3_r7_from_0a48_0a49,annotation,8,0A48 0A49 0A59,0A48,0A49 0A59,disagree
bank0,B9A4,copy_direct_65_66_to_x00c0,annotation,6,00C0,00C0,,agree
bank0,B9AE,init_0a59_block_from_direct_68,annotation,15,0A59,0A59,,agree
bank0,B9C6,add_0318_0319_into_r7_r6,annotation,14,0318,,0318,disagree
bank0,B9D8,read_06e6_xor_01,annotation,3,06E6,06E6,,agree
bank0,B9DF,copy_x1918_to_x0a57,annotation,5,0A57 1918 1919,0A57 1918 1919,,agree
bank0,B9EA,read_1919_byte_set_dptr_0a56,annotation,2,0A56,0A56,,agree
bank0,B9EE,store_a_then_read_be16,annotation,6,,,,vacuous
bank0,B9F5,add_be16_08cc_and_compute_08be_x10_diff,annotation,3,08CC,08CC,,agree
bank0,BA15,clr_a,annotation,1,,,,vacuous
bank0,BA16,store_a_to_08cc_08cd,annotation,4,08CC,08CC,,agree
bank0,BA1C,store_a_to_08ce_08cf,annotation,4,08CE,08CE,,agree
bank0,BA23,load_09cc_into_a_and_dptr_6391,annotation,3,09CC 6391,09CC,6391,disagree
bank0,BA2A,mul_code_byte_by_xdata_0826,annotation,8,0826,0826,,agree
bank0,BA36,read_low_nibble_074c,annotation,3,074C,074C,,agree
bank0,BA3D,store_a_to_dptr_ba3d,annotation,1,,,,vacuous
bank0,BA3E,clear_bit0_1901,annotation,4,1901,1901,,agree
bank0,BA46,clear_low_nibble_07d3,annotation,5,07D3,,07D3,disagree
bank0,BA4F,index_code_by_r7_at_0a49_and_0a4b,annotation,23,0A49 0A4B,0A4B,0A49,disagree
bank0,BA6F,store_code_byte_to_08c5,annotation,3,08C5,08C5,,agree
bank0,BA74,load_dptr_0a51,annotation,1,0A51,,0A51,disagree
bank0,BA77,load_dptr_from_be16_at_dptr,annotation,7,,,,vacuous
bank0,BA81,copy_code_pair_63f0_to_xdata_at_2r7_offset,annotation,22,0A56,0A56,,agree
bank0,BAAE,load_r7_r6_from_0608_and_return_0399,annotation,10,0399 0608 0609,0399,0608 0609,disagree
bank0,BABF,read_code_byte_at_r6r7_plus_0460_10,annotation,15,0460,,0460,disagree
bank0,BAD3,clr_cy,annotation,1,,,,vacuous
bank0,BAD4,sub_input_from_cpu_temp_043e,annotation,4,043E,,043E,disagree
bank0,BADB,load_dptr_08ce,annotation,1,08CE,,08CE,disagree
bank0,BADE,tailcall_70e4_add_0100_at_dptr,annotation,2,,,,vacuous
bank0,BAE5,batt_temp_dK,annotation,1,,,,vacuous
bank0,BAE7,load_r6_r7_from_04a3_04a2,annotation,7,04A2 04A3,04A2,04A3,disagree
bank0,BAF4,store_r4_and_a_to_xdata_pair,annotation,8,,,,vacuous
bank0,BAFD,store_a_then_set_bits_1_and_0_of_1900,annotation,7,1900,1900,,agree
bank0,BB08,store_a_then_set_bit0_1901,annotation,5,1901,1901,,agree
bank0,BB11,mod_100_of_be16_0855,annotation,8,0855,0855,,agree
bank0,BB22,mov_a_c8,annotation,1,,,,vacuous
bank0,BB24,store_a_to_1804,annotation,2,1804,1804,,agree
bank0,BB28,copy_dptr_byte_to_075b_then_set_dptr_1809,annotation,4,075B 1809,,075B 1809,disagree
bank0,BB31,sub_dptr_byte_from_0a4a,annotation,6,0A4A,0A4A,,agree
bank0,BB39,sub_low_byte_0a49,annotation,3,0A49,0A49,,agree
bank0,BB40,fan_mode_get,annotation,3,0751,,0751,disagree
bank0,BB47,load_dptr_08b8,annotation,1,08B8,08B8,,agree
bank0,BB4A,store_a_to_dptr_then_load_0a,annotation,2,,,,vacuous
bank0,BB4D,store_a_to_08b9,annotation,3,08B9 0A47,08B9,0A47,disagree
bank0,BB55,set_cy_before_043e_sub,annotation,1,,,,vacuous
bank0,BB56,cpu_temp_minus_code_table_byte,annotation,5,043E,,043E,disagree
bank0,BB6A,fill_0852_0854_with_ff,annotation,7,0852 0853 0854,0852 0853 0854,,agree
bank0,BB78,zero_0855_0856,annotation,5,0855,0855,,agree
bank0,BB80,store_a_then_read_07c5,annotation,1,,,,vacuous
bank0,BB81,is_07c5_bit0_clear,annotation,3,07C5,07C5,,agree
bank0,BB88,sub_19_from_0857,annotation,4,0857,0857,,agree
bank0,BB90,store_be16_a,annotation,8,,,,vacuous
bank0,BB99,store_a_then_1906_init,annotation,1,,,,vacuous
bank0,BB9A,init_1906_to_9f,annotation,4,1906 1909,1906,1909,disagree
bank0,BBA4,mask_0476_with_1f,annotation,4,0476,0476,,agree
bank0,BBAB,clear_084f_bit0,annotation,4,084F,084F,,agree
bank0,BBB3,store_code_byte_to_08c0,annotation,5,08C0,08C0,,agree
bank0,BBBD,store_code_byte_to_08c3,annotation,5,08C3,08C3,,agree
bank0,BBC7,sub_10x_08bd_from_08ce_pair,annotation,12,08BD 08CE 08CF,08BD 08CE 08CF,,agree
bank0,BBDD,set_cy_before_044f_sub,annotation,1,,,,vacuous
bank0,BBDE,gpu_temp_minus_code_table_byte,annotation,5,044F,,044F,disagree
bank0,BBE6,load_dptr_0469,annotation,1,0469,0469,,agree
bank0,BBE9,set_cy_before_0461_sub,annotation,1,,,,vacuous
bank0,BBEA,sub_0469_from_0461,annotation,5,0461,0461,,agree
bank0,BBF2,sub_0866_from_0865,annotation,7,0865 0866,,0865 0866,disagree
bank0,BBFE,init_0a48_to_40,annotation,4,0A48,0A48,,agree
bank0,BC06,set_0a49_to_1_and_clear_0a4b,annotation,5,0A4B,0A4B,,agree
bank0,BC0E,dptr_add_4x_a,annotation,1,,,,vacuous
bank0,BC14,init_0817_081e_081f_read_0815,annotation,10,0815 0817 081E,0815 0817 081E,,agree
bank0,BC26,copy_0a53_to_0873_and_0a54_to_087b,annotation,8,0873 087B 0A53 0A54,0873 087B 0A53 0A54,,agree
bank0,BC37,code_byte_sub_from_044c,annotation,5,044C,,044C,disagree
bank0,BC3F,store_a_then_clear_0824_bit7_and_0768_bit2,annotation,9,0768 0824,0824,0768,disagree
bank0,BC4F,fan_table_base_offset_helper,annotation,11,08E6 0A47,08E6 0A47,,agree
bank0,BC5F,inc_09e4_and_return_new,annotation,5,09E4,09E4,,agree
bank0,BC67,store_code_byte_to_08ac_then_reload_dptr,annotation,5,08AC,08AC,,agree
bank0,BC71,read_0434_keep_0435_in_r4,annotation,5,0434 0435,,0434 0435,disagree
bank0,BC7B,load_dptr_0a47_then_nothing,annotation,1,0A47,0A47,,agree
bank0,BC7E,store_a_then_read_086c_set_cy,annotation,4,086C,086C,,agree
bank0,BC85,clear_08a9_and_08aa,annotation,5,08A9,08A9,,agree
bank0,BC8D,cfg_cell_count_selector,annotation,4,0491,0491,,agree
bank0,BC95,table_632d_index_times_4,annotation,5,632D,,632D,disagree
bank0,BC9F,mul_0826_by_dptr_byte,annotation,6,0826,0826,,agree
bank0,BCA9,clear_08a5_and_08a6,annotation,5,08A5,08A5,,agree
bank0,BCB1,load_dptr_08e1_and_a_06_then_nothing,annotation,2,08E1,08E1,,agree
bank0,BCB6,store_a_then_clear_08e0,annotation,4,08E0,08E0,,agree
bank0,BCBD,dptr_r5_times_2_tail_call_705b,annotation,6,,,,vacuous
bank0,BCCB,store_be16_of_08e6_and_arg_to_0a47,annotation,9,08E6 0A47,08E6 0A47,,agree
bank0,BCDA,x0f10_table_indexed_by_0460,annotation,8,0460,,0460,disagree
bank0,BCE9,read_first_code_byte_pair_frag,annotation,4,,,,vacuous
bank0,BCEE,dptr_from_code_be16,annotation,4,,,,vacuous
bank0,BCF5,stress_headroom,annotation,11,,,,vacuous
bank0,BD03,clear_0741_bit0_and_08e2_bit4,annotation,8,0741 08E2,08E2,0741,disagree
bank0,BD12,read_x0b68,annotation,8,,,,vacuous
bank0,BD20,store_044b_then_read_08e2,annotation,4,044B 08E2,08E2,044B,disagree
bank0,BD29,set_r5_and_1_plus_carry_frag,annotation,3,,,,vacuous
bank0,BD2D,sub16_r6r7_minus_r4r5,annotation,6,,,,vacuous
bank0,BD34,sub_dptr_byte_from_0867,annotation,6,0867,,0867,disagree
bank0,BD3D,sub_dptr_byte_from_0868,annotation,6,0868,,0868,disagree
bank0,BD46,be16_08a9_08aa_minus_0321,annotation,7,08A9 08AA,08A9 08AA,,agree
bank0,BD54,store_be16_b,annotation,8,,,,vacuous
bank0,BD5D,be16_0464_0465_minus_100,annotation,7,0464 0465,0464 0465,,agree
bank0,BD6B,be16_046c_046d_minus_100,annotation,7,046C 046D,046C 046D,,agree
bank0,BD79,tail_call_7110_with_b6,annotation,1,,,,vacuous
bank0,BD7F,store_a_then_tail_call_7110_b6,annotation,5,,,,vacuous
bank0,BD8B,tier_250_eligible,annotation,6,09C9 09CA,09C9 09CA,,agree
bank0,BD98,tier_200_eligible,annotation,6,09C9 09CA,09C9 09CA,,agree
bank0,BDA5,set_cy_fallthrough_to_bda6,annotation,1,,,,vacuous
bank0,BDA6,sub_code_byte_from_x0875,annotation,5,0875,0875,,agree
bank0,BDAE,copy_x1907_to_x0a57,annotation,5,0A57 1907 1908,0A57 1907,1908,disagree
bank0,BDBA,copy_x190a_to_x0a57,annotation,5,0A57 190A 190B,0A57 190A,190B,disagree
bank0,BDC6,copy_x190d_to_x0a57,annotation,5,0A57 190D 190E,0A57 190D,190E,disagree
bank0,BDD2,read_x0a59_and_x0a5a,annotation,5,0A59,,0A59,disagree
bank0,BDDA,store_code_byte_to_0a49_0a4a,annotation,9,0A49,0A49,,agree
bank0,BDF2,gpu_temp_minus_xdata_byte,annotation,5,044F,,044F,disagree
bank0,BDFA,write_40_then_read_x1601,annotation,4,1601,1601,,agree
