out_file,program,addr,body_lines,owner_out_file,owner_addr,owner_name,shared,containment
bank0/83FF.c,bank0,83FF,15,bank0/83FF.c,83FF,sync_0788_and_07d4_from_09e9,no,1.00
bank0/849C.c,bank0,849C,1,bank0/849C.c,849C,return_trampoline_83ff,no,1.00
bank0/8648.c,bank0,8648,2,bank0/8648.c,8648,clear_200b,no,1.00
bank0/8653.c,bank0,8653,37,bank0/8653.c,8653,seed_fan_table_base,no,1.00
bank0/8749.c,bank0,8749,133,bank0/8749.c,8749,mode_tick_084c_07a5_09ee,no,1.00
bank0/888D.c,bank0,888D,96,bank0/888D.c,888D,fan_table_mailbox_handler,no,1.00
bank0/8931.c,bank0,8931,72,bank0/8931.c,8931,threshold_cascade_from_08eb_085f,no,1.00
bank0/8939.c,bank0,8939,4,bank0/8939.c,8939,store_200_via_dptr_then_8f09,no,1.00
bank0/893E.c,bank0,893E,3,bank0/893E.c,893E,store_a_via_dptr_then_jump_8f09,no,1.00
bank0/8B14.c,bank0,8B14,103,bank0/8B14.c,8B14,FUN_CODE_8b14,no,1.00
bank0/8C46.c,bank0,8C46,52,bank0/8C46.c,8C46,ramp_1804_1809_toward_0461_0469,no,1.00
bank0/8DE0.c,bank0,8DE0,30,bank0/8DE0.c,8DE0,ramp_1804_toward_0670_and_set_1809,no,1.00
bank0/8F03.c,bank0,8F03,5,bank0/8F03.c,8F03,call_bb28_on_1804,no,1.00
bank0/8F09.c,bank0,8F09,2,bank0/8F09.c,8F09,copy_dptr_byte_to_075c,no,1.00
bank0/8F0E.c,bank0,8F0E,1,bank0/8F0E.c,8F0E,return_trampoline,no,1.00
bank0/8F0F.c,bank0,8F0F,5,bank0/8F0F.c,8F0F,store_a_to_dptr_then_075c_and_notify,no,1.00
bank0/8F20.c,bank0,8F20,36,bank0/8F20.c,8F20,state_0817_dispatch,no,1.00
bank0/8FDB.c,bank0,8FDB,22,bank0/8FDB.c,8FDB,state_0817_fallthrough,no,1.00
bank0/9000.c,bank0,9000,2,bank0/9000.c,9000,ljmp_703d,no,1.00
bank0/9006.c,bank0,9006,9,bank0/9006.c,9006,read_dptr_byte,no,1.00
bank0/9007.c,bank0,9007,7,bank0/9007.c,9007,word_nonzero_check_tail,no,1.00
bank0/900D.c,bank0,900D,5,bank0/900D.c,900D,clear_081e_after_c2a2,no,1.00
bank0/9015.c,bank0,9015,3,bank0/9015.c,9015,advance_dptr_to_081f,no,1.00
bank0/9016.c,bank0,9016,3,bank0/9016.c,9016,load_constant_14,no,1.00
bank0/9018.c,bank0,9018,3,bank0/9018.c,9018,store_14_then_select_0817,no,1.00
bank0/901C.c,bank0,901C,2,bank0/901C.c,901C,write_1_to_dptr,no,1.00
bank0/902A.c,bank0,902A,2,bank0/902A.c,902A,write_2_to_0817,no,1.00
bank0/9040.c,bank0,9040,1,bank0/9040.c,9040,bare_ret_9040,no,1.00
bank0/9041.c,bank0,9041,3,bank0/9041.c,9041,store_r7_to_0850_then_jump_1648,no,1.00
bank0/9049.c,bank0,9049,9,bank0/9049.c,9049,countdown_0806_and_branch_on_0490,no,1.00
bank0/909B.c,bank0,909B,8,bank0/909B.c,909B,update_flag_bits_in_0985,no,1.00
bank0/90FE.c,bank0,90FE,7,bank0/90FE.c,90FE,update_flag_bits_in_0723,no,1.00
bank0/9167.c,bank0,9167,16,bank0/9167.c,9167,gate_on_074c_then_dispatch,no,1.00
bank0/91C5.c,bank0,91C5,22,bank0/91C5.c,91C5,config_init_from_ba36_ba46,no,1.00
bank0/924B.c,bank0,924B,1,bank0/924B.c,924B,bare_ret_924b,no,1.00
bank0/924C.c,bank0,924C,7,bank0/924C.c,924C,set_0838_0839_0832_on_049f_bit2,no,1.00
bank0/9277.c,bank0,9277,32,bank0/9277.c,9277,FUN_CODE_9277,no,1.00
bank0/9334.c,bank0,9334,45,bank0/9334.c,9334,seed_tcc_defaults_from_ba36,no,1.00
bank0/93FE.c,bank0,93FE,22,bank0/93FE.c,93FE,load_r7_into_a,no,1.00
bank0/93FF.c,bank0,93FF,22,bank0/93FF.c,93FF,select_table_byte_against_044f,no,1.00
bank0/948D.c,bank0,948D,5,bank0/948D.c,948D,code_byte_to_0a4a_then_push_r7,no,1.00
bank0/94AF.c,bank0,94AF,3,bank0/94AF.c,94AF,store_r7_to_098c_and_0463,no,1.00
bank0/94C0.c,bank0,94C0,3,bank0/94C0.c,94C0,set_07c4_bit4_from_r7,no,1.00
bank0/94D0.c,bank0,94D0,48,bank0/94D0.c,94D0,copy_code_table_into_0730_07a7,no,1.00
bank0/95DD.c,bank0,95DD,147,bank0/95DD.c,95DD,fill_08xx_from_code_table,no,1.00
bank0/96AD.c,bank0,96AD,109,bank0/96AD.c,96AD,apply_oem_overrides_then_fill_08xx,no,1.00
bank0/98FB.c,bank0,98FB,21,bank0/98FB.c,98FB,set_0985_bit4,no,1.00
bank0/9902.c,bank0,9902,20,bank0/98FB.c,98FB,set_0985_bit4,yes,1.00
bank0/9917.c,bank0,9917,19,bank0/98FB.c,98FB,set_0985_bit4,yes,0.95
bank0/99A7.c,bank0,99A7,10,bank0/99A7.c,99A7,clamp_0a53_0a54_down_to_08c4_08c5,no,1.00
bank0/99ED.c,bank0,99ED,5,bank0/99ED.c,99ED,copy_08c7_08c8_08c9_into_087x,no,1.00
bank0/9A00.c,bank0,9A00,3,bank0/9A00.c,9A00,copy_dptr_to_088b_and_08bb_to_08ba,no,1.00
bank0/9A0D.c,bank0,9A0D,1,bank0/9A0D.c,9A0D,FUN_CODE_9a0d,no,1.00
bank0/9A0E.c,bank0,9A0E,23,bank0/9A0E.c,9A0E,mul_div_08ea_then_sub_044b_selected,no,1.00
bank0/9A7B.c,bank0,9A7B,6,bank0/9A7B.c,9A7B,store_bd20_result_masked_7f,no,1.00
bank0/9A86.c,bank0,9A86,3,bank0/9A86.c,9A86,call_ba15_then_write_02_to_044b,no,1.00
bank0/9A90.c,bank0,9A90,5,bank0/9A90.c,9A90,call_bd20_with_03_then_or_80_into_dptr,no,1.00
bank0/9A9C.c,bank0,9A9C,4,bank0/9A9C.c,9A9C,write_04_to_044b_and_set_08e2_bit7,no,1.00
bank0/9AAD.c,bank0,9AAD,73,bank0/9AAD.c,9AAD,FUN_CODE_9aad,no,1.00
bank0/9BFD.c,bank0,9BFD,3,bank0/9BFD.c,9BFD,forward_to_9a86,no,1.00
bank0/9C00.c,bank0,9C00,11,bank0/9C00.c,9C00,clear_09e9_unless_0743_bit2,no,1.00
bank0/9C1D.c,bank0,9C1D,4,bank0/9C1D.c,9C1D,clear_two_bytes_at_dptr_then_9a90,no,1.00
bank0/9C24.c,bank0,9C24,10,bank0/9C24.c,9C24,reset_08ad_08bf_and_clear_08e2_bit7,no,1.00
bank0/9C47.c,bank0,9C47,1,bank0/9C47.c,9C47,ret_only_9c47,no,1.00
bank0/9CA6.c,bank0,9CA6,32,bank0/9CA6.c,9CA6,gate_06e6_442_then_sync_046a_from_086b,no,1.00
bank0/9D9A.c,bank0,9D9A,1,bank0/9D9A.c,9D9A,shared_return_stub_9d9a,no,1.00
bank0/9D9B.c,bank0,9D9B,78,bank0/9D9B.c,9D9B,compute_level_blocks_086b_086c_086e,no,1.00
bank0/A00E.c,bank0,A00E,59,bank0/A00E.c,A00E,seed_0872_087a_088a_then_select_level,no,1.00
bank0/A139.c,bank0,A139,70,bank0/A139.c,A139,FUN_CODE_a139,no,1.00
bank0/A169.c,bank0,A169,3,bank0/A169.c,A169,clear_0983_bit1_then_0xa1c8,no,1.00
bank0/A172.c,bank0,A172,3,bank0/A172.c,A172,clear_08a9_08aa_then_0xa1c8,no,1.00
bank0/A1A8.c,bank0,A1A8,47,bank0/A1A8.c,A1A8,set_state_bytes_then_0xa1c8,no,1.00
bank0/A1C8.c,bank0,A1C8,42,bank0/A1A8.c,A1A8,set_state_bytes_then_0xa1c8,yes,1.00
bank0/A2E0.c,bank0,A2E0,6,bank0/A2E0.c,A2E0,step_0859_then_toggle_0858_bit0,no,1.00
bank0/A312.c,bank0,A312,37,bank0/A312.c,A312,gate_0494_then_dispatch_0851_and_7,no,1.00
bank0/A374.c,bank0,A374,4,bank0/A374.c,A374,send_f381_then_set_0890_to_0a,no,1.00
bank0/A3C3.c,bank0,A3C3,5,bank0/A3C3.c,A3C3,on_0767_bit3_send_f160_then_896a,no,1.00
bank0/A3E0.c,bank0,A3E0,5,bank0/A3E0.c,A3E0,FUN_CODE_a3e0,no,1.00
bank0/A425.c,bank0,A425,1,bank0/A425.c,A425,shared_return_stub_a425,no,1.00
bank0/A426.c,bank0,A426,22,bank0/A426.c,A426,FUN_CODE_a426,no,1.00
bank0/A4D6.c,bank0,A4D6,4,bank0/A4D6.c,A4D6,zero_1803_1805_1808_then_set_0852_0854_to_ff,no,1.00
bank0/A663.c,bank0,A663,58,bank0/A663.c,A663,gate_0767_06e6_0741_then_dispatch_076f,no,1.00
bank0/A678.c,bank0,A678,22,bank0/A678.c,A678,forward_to_a426,no,1.00
bank0/A6C6.c,bank0,A6C6,6,bank0/A6C6.c,A6C6,table_63be_lookup_into_1808_then_inc_0857,no,1.00
bank0/A716.c,bank0,A716,2,bank0/A716.c,A716,FUN_CODE_a716,no,1.00
bank0/A71A.c,bank0,A71A,3,bank0/A71A.c,A71A,clear_0857_and_076f,no,1.00
bank0/A725.c,bank0,A725,2,bank0/A725.c,A725,write_0857_from_acc,no,1.00
bank0/A72A.c,bank0,A72A,2,bank0/A72A.c,A72A,gate_a747_on_06c2_0766,no,1.00
bank0/A73B.c,bank0,A73B,2,bank0/A73B.c,A73B,call_a747,no,1.00
bank0/A73F.c,bank0,A73F,3,bank0/A73F.c,A73F,store_r7_at_6a_then_jump_1666,no,1.00
bank0/A747.c,bank0,A747,7,bank0/A747.c,A747,stage_0769_076e_convert_to_1803,no,1.00
bank0/A7C8.c,bank0,A7C8,24,bank0/A7C8.c,A7C8,FUN_CODE_a7c8,no,1.00
bank0/A844.c,bank0,A844,26,bank0/A844.c,A844,update_0476_flags,no,1.00
bank0/A96B.c,bank0,A96B,5,bank0/A96B.c,A96B,clear_073f_and_0899,no,1.00
bank0/A97B.c,bank0,A97B,16,bank0/A97B.c,A97B,dispatch_on_06e6_and_0741,no,1.00
bank0/AA90.c,bank0,AA90,7,bank0/AA90.c,AA90,call_2990_1e1a_fixed_sequence,no,1.00
bank0/AAC6.c,bank0,AAC6,15,bank0/AAC6.c,AAC6,advance_0d14_state,no,1.00
bank0/AB6D.c,bank0,AB6D,1,bank0/AB6D.c,AB6D,shared_noop_ret,no,1.00
bank0/AB6E.c,bank0,AB6E,9,bank0/AB6E.c,AB6E,set_06e2_bit0_from_c412,no,1.00
bank0/AB9E.c,bank0,AB9E,15,bank0/AB9E.c,AB9E,set_0751_and_07a6_bits,no,1.00
bank0/AC08.c,bank0,AC08,9,bank0/AC08.c,AC08,dispatch_on_0751_bits,no,1.00
bank0/AC4A.c,bank0,AC4A,8,bank0/AC4A.c,AC4A,toggle_08e2_bit4,no,1.00
bank0/ACB4.c,bank0,ACB4,43,bank0/ACB4.c,ACB4,reset_xdata_flags_and_07d5_to_ff,no,1.00
bank0/ADA3.c,bank0,ADA3,42,bank0/ADA3.c,ADA3,write_0a47_from_r7,no,1.00
bank0/ADAE.c,bank0,ADAE,40,bank0/ADAE.c,ADAE,dispatch_on_0a47,no,1.00
bank0/AE6D.c,bank0,AE6D,2,bank0/AE6D.c,AE6D,set_08ec_bit0_clear_bit4,no,1.00
bank0/AE79.c,bank0,AE79,3,bank0/AE79.c,AE79,set_08ec_bit4_clear_bit0,no,1.00
bank0/AE87.c,bank0,AE87,14,bank0/AE87.c,AE87,build_0791_0793_0794_then_branch,no,1.00
bank0/AEC0.c,bank0,AEC0,19,bank0/AEC0.c,AEC0,build_0795_0799_then_set_08ec,no,1.00
bank0/AF27.c,bank0,AF27,21,bank0/AF27.c,AF27,fill_0790_0791_0793_via_calls,no,1.00
bank0/AF66.c,bank0,AF66,2,bank0/AF66.c,AF66,set_08ec_bit1_clear_bit5,no,1.00
bank0/AF72.c,bank0,AF72,5,bank0/AF27.c,AF27,fill_0790_0791_0793_via_calls,yes,0.80
bank0/AF7D.c,bank0,AF7D,4,bank0/AF27.c,AF27,fill_0790_0791_0793_via_calls,yes,1.00
bank0/AF8A.c,bank0,AF8A,10,bank0/AF8A.c,AF8A,init_0a48_and_0a59_blocks,no,1.00
bank0/AFCE.c,bank0,AFCE,4,bank0/AFCE.c,AFCE,copy_0a4b_0a4c_to_079b_079c,no,1.00
bank0/AFF2.c,bank0,AFF2,2,bank0/AFF2.c,AFF2,call_445e_40_88_then_load_0a49,no,1.00
bank0/B008.c,bank0,B008,2,bank0/B008.c,B008,read_0a4b_after_call_445e_0c,no,1.00
bank0/B012.c,bank0,B012,2,bank0/B012.c,B012,read_0a4b_after_call_445e_08,no,1.00
bank0/B01C.c,bank0,B01C,2,bank0/B01C.c,B01C,read_0a4b_after_call_445e_0c_b01c,no,1.00
bank0/B026.c,bank0,B026,2,bank0/B026.c,B026,set_dptr_0a4b_after_call_445e_08,no,1.00
bank0/B02F.c,bank0,B02F,2,bank0/B02F.c,B02F,set_dptr_0a4b_after_call_445e_08_b02f,no,1.00
bank0/B038.c,bank0,B038,2,bank0/B038.c,B038,read_0a4b_after_call_445e_0c_b038,no,1.00
bank0/B053.c,bank0,B053,4,bank0/B053.c,B053,clear_16f1_bit5_then_store_0x80_pair,no,1.00
bank0/B065.c,bank0,B065,19,bank0/B065.c,B065,ten_count_gate_then_set_1300_and_200f,no,1.00
bank0/B0DC.c,bank0,B0DC,5,bank0/B0DC.c,B0DC,sync_0983_bit5_against_support_2_bit4,no,1.00
bank0/B112.c,bank0,B112,2,bank0/B112.c,B112,check_0xB112,no,1.00
bank0/B12C.c,bank0,B12C,94,bank0/B12C.c,B12C,manual_ctrl_profile_gate,no,1.00
bank0/B158.c,bank0,B158,88,bank0/B12C.c,B12C,manual_ctrl_profile_gate,yes,0.99
bank0/B1F0.c,bank0,B1F0,60,bank0/B1F0.c,B1F0,charge_stress_update,no,1.00
bank0/B35E.c,bank0,B35E,10,bank0/B35E.c,B35E,charge_target_minus_r3_times_0a47,no,1.00
bank0/B38D.c,bank0,B38D,1,bank0/B38D.c,B38D,unresolved_b38d,no,1.00
bank0/B38E.c,bank0,B38E,13,bank0/B38E.c,B38E,step_1802_toward_bf12_limited_by_09cd,no,1.00
bank0/B3E4.c,bank0,B3E4,3,bank0/B3E4.c,B3E4,call_c470_then_clear_0984_bit0,no,1.00
bank0/B3F0.c,bank0,B3F0,7,bank0/B3F0.c,B3F0,rewrite_dptr_byte_ff_at_f0_else_count_0988,no,1.00
bank0/B40C.c,bank0,B40C,14,bank0/B40C.c,B40C,zero_xdata_block_ptr_r6r7_count_r4r5,no,1.00
bank0/B461.c,bank0,B461,2,bank0/B461.c,B461,zero_96_bytes_at_0f00,no,1.00
bank0/B46C.c,bank0,B46C,10,bank0/B46C.c,B46C,FUN_CODE_b46c,no,1.00
bank0/B4A8.c,bank0,B4A8,49,bank0/B4A8.c,B4A8,FUN_CODE_b4a8,no,1.00
bank0/B5B2.c,bank0,B5B2,7,bank0/B5B2.c,B5B2,clear_08eb_bit5_09e6_09e7_08a1_089c_089d,no,1.00
bank0/B5CC.c,bank0,B5CC,3,bank0/B5CC.c,B5CC,store_a_to_089c_and_089d,no,1.00
bank0/B5D2.c,bank0,B5D2,1,bank0/B5D2.c,B5D2,unresolved_b5d2,no,1.00
bank0/B5D3.c,bank0,B5D3,68,bank0/B5D3.c,B5D3,FUN_CODE_b5d3,no,1.00
bank0/B716.c,bank0,B716,7,bank0/B716.c,B716,clear_08eb_bit3_09e6_09e7_08a2_089e_089f,no,1.00
bank0/B730.c,bank0,B730,3,bank0/B730.c,B730,store_a_to_089e_and_089f,no,1.00
bank0/B736.c,bank0,B736,1,bank0/B736.c,B736,unresolved_b736,no,1.00
bank0/B737.c,bank0,B737,50,bank0/B737.c,B737,FUN_CODE_b737,no,1.00
bank0/B82E.c,bank0,B82E,3,bank0/B82E.c,B82E,clear_08eb_bit6_and_zero_08a0,no,1.00
bank0/B83B.c,bank0,B83B,13,bank0/B83B.c,B83B,FUN_CODE_b83b,no,1.00
bank0/B889.c,bank0,B889,7,bank0/B889.c,B889,09ee_bit1_edge_drives_0897_countdown,no,1.00
bank0/B8C0.c,bank0,B8C0,2,bank0/B8C0.c,B8C0,test_0770_equals_04,no,1.00
bank0/B8CD.c,bank0,B8CD,2,bank0/B8CD.c,B8CD,test_0770_equals_08,no,1.00
bank0/B8DA.c,bank0,B8DA,2,bank0/B8DA.c,B8DA,test_0770_equals_18,no,1.00
bank0/B8E7.c,bank0,B8E7,2,bank0/B8E7.c,B8E7,test_0770_equals_09,no,1.00
bank0/B8F4.c,bank0,B8F4,2,bank0/B8F4.c,B8F4,test_0770_equals_0c,no,1.00
bank0/B901.c,bank0,B901,2,bank0/B901.c,B901,test_0770_equals_06,no,1.00
bank0/B90E.c,bank0,B90E,2,bank0/B90E.c,B90E,test_0770_equals_07,no,1.00
bank0/B91B.c,bank0,B91B,2,bank0/B91B.c,B91B,test_0770_equals_0e,no,1.00
bank0/B928.c,bank0,B928,2,bank0/B928.c,B928,test_0770_equals_0a,no,1.00
bank0/B935.c,bank0,B935,2,bank0/B935.c,B935,movc_lookup_set_dptr_08c1,no,1.00
bank0/B939.c,bank0,B939,2,bank0/B939.c,B939,store_a_to_dptr_b939,no,1.00
bank0/B93A.c,bank0,B93A,1,bank0/B93A.c,B93A,set_dptr_0a51_b93a,no,1.00
bank0/B93D.c,bank0,B93D,1,bank0/B93D.c,B93D,load_dptr_be16_from_xdata,no,1.00
bank0/B947.c,bank0,B947,6,bank0/B947.c,B947,load_r3_r7_from_0a48_store_a,no,1.00
bank0/B955.c,bank0,B955,5,bank0/B955.c,B955,set_dptr_0a59_b955,no,1.00
bank0/B958.c,bank0,B958,5,bank0/B958.c,B958,write_4_bytes_ending_0a_4b_00,no,1.00
bank0/B965.c,bank0,B965,5,bank0/B965.c,B965,add_r6_r7_to_0a58_pair_then_halve,no,1.00
bank0/B983.c,bank0,B983,2,bank0/B983.c,B983,store_a_to_dptr_b983,no,1.00
bank0/B984.c,bank0,B984,1,bank0/B984.c,B984,set_dptr_0a51_b984,no,1.00
bank0/B987.c,bank0,B987,1,bank0/B987.c,B987,read_dptr_byte_into_r6,no,1.00
bank0/B989.c,bank0,B989,1,bank0/B989.c,B989,finish_dptr_be16_load,no,1.00
bank0/B990.c,bank0,B990,2,bank0/B990.c,B990,read_dptr_byte_then_set_dptr_0792,no,1.00
bank0/B994.c,bank0,B994,2,bank0/B994.c,B994,store_a_to_dptr_b994,no,1.00
bank0/B995.c,bank0,B995,1,bank0/B995.c,B995,load_r3_r7_from_0a48_0a49,no,1.00
bank0/B9A4.c,bank0,B9A4,7,bank0/B9A4.c,B9A4,copy_direct_65_66_to_x00c0,no,1.00
bank0/B9AE.c,bank0,B9AE,5,bank0/B9A4.c,B9A4,copy_direct_65_66_to_x00c0,yes,1.00
bank0/B9C6.c,bank0,B9C6,1,bank0/B9C6.c,B9C6,add_0318_0319_into_r7_r6,no,1.00
bank0/B9D8.c,bank0,B9D8,1,bank0/B9D8.c,B9D8,read_06e6_xor_01,no,1.00
bank0/B9DF.c,bank0,B9DF,3,bank0/B9DF.c,B9DF,copy_x1918_to_x0a57,no,1.00
bank0/B9EA.c,bank0,B9EA,2,bank0/B9EA.c,B9EA,read_1919_byte_set_dptr_0a56,no,1.00
bank0/B9EE.c,bank0,B9EE,2,bank0/B9EE.c,B9EE,store_a_then_read_be16,no,1.00
bank0/B9F5.c,bank0,B9F5,2,bank0/B9F5.c,B9F5,add_be16_08cc_and_compute_08be_x10_diff,no,1.00
bank0/BA15.c,bank0,BA15,5,bank0/BA15.c,BA15,clr_a,no,1.00
bank0/BA16.c,bank0,BA16,5,bank0/BA16.c,BA16,store_a_to_08cc_08cd,no,1.00
bank0/BA1C.c,bank0,BA1C,3,bank0/BA16.c,BA16,store_a_to_08cc_08cd,yes,1.00
bank0/BA23.c,bank0,BA23,1,bank0/BA23.c,BA23,load_09cc_into_a_and_dptr_6391,no,1.00
bank0/BA2A.c,bank0,BA2A,1,bank0/BA2A.c,BA2A,mul_code_byte_by_xdata_0826,no,1.00
bank0/BA36.c,bank0,BA36,1,bank0/BA36.c,BA36,read_low_nibble_074c,no,1.00
bank0/BA3D.c,bank0,BA3D,3,bank0/BA3D.c,BA3D,store_a_to_dptr_ba3d,no,1.00
bank0/BA3E.c,bank0,BA3E,2,bank0/BA3E.c,BA3E,clear_bit0_1901,no,1.00
bank0/BA46.c,bank0,BA46,2,bank0/BA46.c,BA46,clear_low_nibble_07d3,no,1.00
