addr,program,spelled_as,span_group,cluster_id,refs,read,write,read+write,passed-to-call,address-taken,readers,writers,functions_touched,single_function,name,functions,cluster_key
0x0027,main-ec,DAT_EXTMEM,0x0023-0x0028,main-ec-014,7,1,6,0,0,0,1,1,2,no,,bank0:0xC8C5=select_0027_0028_from_five_probes [logic]; common:0x1059=FUN_CODE_1059,kd674bc23b475
0x0028,main-ec,DAT_EXTMEM,0x0023-0x0028,main-ec-014,9,3,6,0,0,0,2,1,3,no,,bank0:0xC8C5=select_0027_0028_from_five_probes [logic]; bank1:0xE9CE=FUN_CODE_e9ce; common:0x1059=FUN_CODE_1059,kd674bc23b475
0x0043,main-ec,DAT_EXTMEM,0x0043-0x0043,main-ec-269,6,2,3,1,0,0,1,4,4,no,,common:0x012F=chan_init_170a_then_jmp_11b6 [init]; common:0x018C=chan_init_1709_then_jmp_11bc [init]; common:0x029B=chan_init_1708_then_jmp_11c2 [init]; common:0x07F0=FUN_CODE_07f0,k2d966f324caf
0x0045,main-ec,DAT_EXTMEM,0x0045-0x0046,main-ec-007,10,0,10,0,0,0,0,10,10,no,,bank0:0xD74F=write_33_to_1511_then_loop [writer]; bank0:0xD757=unresolved_multiarm_dispatch_d757 [unresolved]; bank0:0xE256=dispatch_on_0046_copy_status_to_0083 [dispatch]; bank0:0xF566=ff_filler_not_a_function_f566 [unresolved]; bank0:0xF583=ff_filler_not_a_function_f583 [unresolved]; bank0:0xFAE8=ff_filler_not_a_function_fae8 [unresolved]; bank0:0xFE0F=poll_1304_1500_dispatch_0083 [state]; bank1:0x94FA=magic_55aa_and_0704_countdown [state]; common:0x0200=post_05e8_init_1042_16e7 [unresolved]; common:0x0213=FUN_CODE_0213,kea0c67af9b51
0x0046,main-ec,DAT_EXTMEM,0x0045-0x0046,main-ec-258,7,6,1,0,0,0,1,1,2,no,,bank0:0xDE4D=init_0046_to_64_and_clear_af [init]; bank0:0xE256=dispatch_on_0046_copy_status_to_0083 [dispatch],k1f3249f8feb7
0x004B,main-ec,DAT_EXTMEM,0x004B-0x004D,main-ec-119,14,8,2,1,2,1,5,3,5,no,,common:0x09E9=FUN_CODE_09e9; common:0x0A04=FUN_CODE_0a04; common:0x0A12=FUN_CODE_0a12; common:0x0A7F=FUN_CODE_0a7f; common:0x0D4A=FUN_CODE_0d4a,k2625e81a0693
0x004C,main-ec,DAT_EXTMEM,0x004B-0x004D,main-ec-119,9,6,2,1,0,0,3,2,3,no,,common:0x0A04=FUN_CODE_0a04; common:0x0A12=FUN_CODE_0a12; common:0x0D4A=FUN_CODE_0d4a,k2625e81a0693
0x004D,main-ec,DAT_EXTMEM,0x004B-0x004D,main-ec-284,5,2,1,1,0,1,1,1,1,yes,,common:0x3609=FUN_CODE_3609,k93609d700dd2
0x007E,main-ec,DAT_EXTMEM,0x007E-0x007E,main-ec-270,6,3,2,1,0,0,1,3,3,no,,common:0x0C86=FUN_CODE_0c86; common:0x3D97=FUN_CODE_3d97; common:0x3DA8=FUN_CODE_3da8,kbdb7e3b1786b
0x0080,main-ec,DAT_EXTMEM,0x0080-0x0081,main-ec-029,7,4,1,1,0,1,2,1,2,no,,common:0x5202=FUN_CODE_5202; common:0x57C2=FUN_CODE_57c2,k516793bfb8af
0x0081,main-ec,DAT_EXTMEM,0x0080-0x0081,main-ec-090,4,2,1,1,0,0,1,1,1,yes,,common:0x2820=FUN_CODE_2820,k7ebaff0ef659
0x0083,main-ec,DAT_EXTMEM,0x0083-0x0084,main-ec-007,9,2,7,0,0,0,1,5,5,no,,bank0:0xE256=dispatch_on_0046_copy_status_to_0083 [dispatch]; bank0:0xF566=ff_filler_not_a_function_f566 [unresolved]; bank0:0xF583=ff_filler_not_a_function_f583 [unresolved]; bank0:0xFAE8=ff_filler_not_a_function_fae8 [unresolved]; bank0:0xFE0F=poll_1304_1500_dispatch_0083 [state],kea0c67af9b51
0x0084,main-ec,DAT_EXTMEM,0x0083-0x0084,main-ec-007,15,4,11,0,0,0,4,4,4,no,,bank0:0xF566=ff_filler_not_a_function_f566 [unresolved]; bank0:0xF583=ff_filler_not_a_function_f583 [unresolved]; bank0:0xFAE8=ff_filler_not_a_function_fae8 [unresolved]; bank0:0xFE0F=poll_1304_1500_dispatch_0083 [state],kea0c67af9b51
0x008D,main-ec,DAT_EXTMEM,0x008D-0x008E,main-ec-163,1,0,1,0,0,0,0,1,1,yes,,common:0x2AAC=FUN_CODE_2aac,k2e2bb72a3390
0x008E,main-ec,DAT_EXTMEM,0x008D-0x008E,main-ec-163,1,0,1,0,0,0,0,1,1,yes,,common:0x2AAC=FUN_CODE_2aac,k2e2bb72a3390
0x0094,main-ec,DAT_EXTMEM,0x0094-0x0096,main-ec-029,3,0,3,0,0,0,0,3,3,no,,bank0:0x537F=stage_0094_block_dispatch_4d96 [dispatch]; bank0:0x53AF=stage_009b_block_branch_dispatch [dispatch]; bank0:0x541D=stage_009b_block_dispatch_51c8 [dispatch],k516793bfb8af
0x0095,main-ec,DAT_EXTMEM,0x0094-0x0096,main-ec-029,3,0,3,0,0,0,0,3,3,no,,bank0:0x537F=stage_0094_block_dispatch_4d96 [dispatch]; bank0:0x53AF=stage_009b_block_branch_dispatch [dispatch]; bank0:0x541D=stage_009b_block_dispatch_51c8 [dispatch],k516793bfb8af
0x0096,main-ec,DAT_EXTMEM,0x0094-0x0096,main-ec-029,3,0,3,0,0,0,0,3,3,no,,bank0:0x537F=stage_0094_block_dispatch_4d96 [dispatch]; bank0:0x53AF=stage_009b_block_branch_dispatch [dispatch]; bank0:0x541D=stage_009b_block_dispatch_51c8 [dispatch],k516793bfb8af
0x0098,main-ec,DAT_EXTMEM,0x0098-0x009F,main-ec-345,1,0,1,0,0,0,0,1,1,yes,,bank0:0x537F=stage_0094_block_dispatch_4d96 [dispatch],k5808386adaf4
0x0099,main-ec,DAT_EXTMEM,0x0098-0x009F,main-ec-346,1,0,1,0,0,0,0,1,1,yes,,common:0x4B77=FUN_CODE_4b77,k53f45429d861
0x009A,main-ec,DAT_EXTMEM,0x0098-0x009F,main-ec-347,1,0,1,0,0,0,0,1,1,yes,,bank0:0x530E=stage_009a_dispatch_to_4bb0 [dispatch],k844afccb8c54
0x009B,main-ec,DAT_EXTMEM,0x0098-0x009F,main-ec-029,4,2,2,0,0,0,2,2,4,no,,bank0:0x53AF=stage_009b_block_branch_dispatch [dispatch]; bank0:0x541D=stage_009b_block_dispatch_51c8 [dispatch]; common:0x5202=FUN_CODE_5202; common:0x57C2=FUN_CODE_57c2,k516793bfb8af
0x009C,main-ec,DAT_EXTMEM,0x0098-0x009F,main-ec-029,8,4,2,2,0,0,2,4,4,no,,bank0:0x53AF=stage_009b_block_branch_dispatch [dispatch]; bank0:0x541D=stage_009b_block_dispatch_51c8 [dispatch]; common:0x5202=FUN_CODE_5202; common:0x57C2=FUN_CODE_57c2,k516793bfb8af
0x009D,main-ec,DAT_EXTMEM,0x0098-0x009F,main-ec-158,2,1,1,0,0,0,1,1,2,no,,bank0:0x53AF=stage_009b_block_branch_dispatch [dispatch]; bank0:0x549B=default_009d_bf_dispatch_4e2c [dispatch],ka59f2949e659
0x009E,main-ec,DAT_EXTMEM,0x0098-0x009F,main-ec-158,1,1,0,0,0,0,1,0,1,yes,,bank0:0x53AF=stage_009b_block_branch_dispatch [dispatch],ka59f2949e659
0x009F,main-ec,DAT_EXTMEM,0x0098-0x009F,main-ec-007,9,7,2,0,0,0,7,1,8,no,,bank0:0x549B=default_009d_bf_dispatch_4e2c [dispatch]; bank0:0xD5D4=write_33_to_1501_join_loop_d5db [writer]; bank0:0xD5DB=FUN_CODE_d5db; bank0:0xF566=ff_filler_not_a_function_f566 [unresolved]; bank0:0xF583=ff_filler_not_a_function_f583 [unresolved]; bank0:0xFAE8=ff_filler_not_a_function_fae8 [unresolved]; bank0:0xFE0F=poll_1304_1500_dispatch_0083 [state]; common:0x5597=write_009f_4f_or_0f_by_r7 [writer],kea0c67af9b51
0x00B6,pd,DAT_EXTMEM,0x00B6-0x00BE,pd-001,1,0,1,0,0,0,0,1,1,yes,,pd:0xC62B=write_00b8_pattern_then_copy_ffc0_to_00d5 [copy],kb5652a66acb4
0x00B7,pd,DAT_EXTMEM,0x00B6-0x00BE,pd-001,1,0,1,0,0,0,0,1,1,yes,,pd:0xC62B=write_00b8_pattern_then_copy_ffc0_to_00d5 [copy],kb5652a66acb4
0x00B8,pd,DAT_EXTMEM,0x00B6-0x00BE,pd-001,1,0,1,0,0,0,0,1,1,yes,,pd:0xC62B=write_00b8_pattern_then_copy_ffc0_to_00d5 [copy],kb5652a66acb4
0x00B9,pd,DAT_EXTMEM,0x00B6-0x00BE,pd-001,1,0,1,0,0,0,0,1,1,yes,,pd:0xC62B=write_00b8_pattern_then_copy_ffc0_to_00d5 [copy],kb5652a66acb4
0x00BA,pd,DAT_EXTMEM,0x00B6-0x00BE,pd-001,1,0,1,0,0,0,0,1,1,yes,,pd:0xC62B=write_00b8_pattern_then_copy_ffc0_to_00d5 [copy],kb5652a66acb4
0x00BB,pd,DAT_EXTMEM,0x00B6-0x00BE,pd-001,1,0,1,0,0,0,0,1,1,yes,,pd:0xC62B=write_00b8_pattern_then_copy_ffc0_to_00d5 [copy],kb5652a66acb4
0x00BC,pd,DAT_EXTMEM,0x00B6-0x00BE,pd-001,2,2,0,0,0,0,2,0,2,no,,pd:0xA8AE=event_dispatch_ff80_ffe0 [dispatch]; pd:0xAE9C=write_07d1_then_call_chain [logic],kb5652a66acb4
0x00BD,pd,DAT_EXTMEM,0x00B6-0x00BE,pd-001,11,7,0,4,0,0,5,4,5,no,,pd:0xA8AE=event_dispatch_ff80_ffe0 [dispatch]; pd:0xAE9C=write_07d1_then_call_chain [logic]; pd:0xB17D=write_dptr_byte_set_00bd_bit0_clear_ff62_bit3 [writer]; pd:0xF598=set_00bd_bit1_clear_ff42_bit7 [writer]; pd:0xF5D1=set_ff42_bit7_if_00bd_zero [gate],kb5652a66acb4
0x00BE,pd,DAT_EXTMEM,0x00B6-0x00BE,pd-001,3,2,1,0,0,0,2,1,3,no,,pd:0xA8AE=event_dispatch_ff80_ffe0 [dispatch]; pd:0xAE9C=write_07d1_then_call_chain [logic]; pd:0xDA44=poll_0208_0209_then_spin [logic],kb5652a66acb4
0x00C0,main-ec,DAT_EXTMEM,0x00C0-0x00C1,main-ec-010,6,4,2,0,0,0,2,2,3,no,,bank0:0xB9A4=copy_direct_65_66_to_x00c0 [copy]; bank0:0xBE52=copy_x00c0_pair_to_iram_67_68 [copy]; bank0:0xEADA=FUN_CODE_eada,k733571bb7f66
0x00C1,main-ec,DAT_EXTMEM,0x00C0-0x00C1,main-ec-010,6,4,2,0,0,0,2,2,3,no,,bank0:0xB9A4=copy_direct_65_66_to_x00c0 [copy]; bank0:0xBE52=copy_x00c0_pair_to_iram_67_68 [copy]; bank0:0xEADA=FUN_CODE_eada,k733571bb7f66
0x00D0,both,DAT_EXTMEM,0x00D0-0x00D0,main-ec-348,2,0,1,0,0,1,0,1,2,no,,bank0:0xD3C8=zero_d0_d7_and_state [writer]; pd:0xEBE4=pick_00d0_or_00d1_then_tail_with_dp_0002 [logic],k29ceae4e91bb
0x00D1,pd,DAT_EXTMEM,0x00D0-0x00D7,pd-015,1,0,1,0,0,0,0,1,1,yes,,pd:0xEBE4=pick_00d0_or_00d1_then_tail_with_dp_0002 [logic],kd23b6d81192e
0x00D2,pd,DAT_EXTMEM,0x00D0-0x00D7,pd-015,1,0,1,0,0,0,0,1,1,yes,,pd:0xEBE4=pick_00d0_or_00d1_then_tail_with_dp_0002 [logic],kd23b6d81192e
0x00D3,pd,DAT_EXTMEM,0x00D0-0x00D7,pd-001,6,4,1,0,1,0,2,1,3,no,,pd:0xA8AE=event_dispatch_ff80_ffe0 [dispatch]; pd:0xAE9C=write_07d1_then_call_chain [logic]; pd:0xEA67=reset_07c9_block_then_flag_00d3_1 [state],kb5652a66acb4
0x00D4,pd,DAT_EXTMEM,0x00D0-0x00D7,pd-001,3,2,1,0,0,0,2,1,3,no,,pd:0xA8AE=event_dispatch_ff80_ffe0 [dispatch]; pd:0xAE9C=write_07d1_then_call_chain [logic]; pd:0xEA67=reset_07c9_block_then_flag_00d3_1 [state],kb5652a66acb4
0x00D5,pd,DAT_EXTMEM,0x00D0-0x00D7,pd-001,4,2,2,0,0,0,2,2,4,no,,pd:0xA8AE=event_dispatch_ff80_ffe0 [dispatch]; pd:0xAE9C=write_07d1_then_call_chain [logic]; pd:0xC62B=write_00b8_pattern_then_copy_ffc0_to_00d5 [copy]; pd:0xEA67=reset_07c9_block_then_flag_00d3_1 [state],kb5652a66acb4
0x00D6,pd,DAT_EXTMEM,0x00D0-0x00D7,pd-001,1,0,1,0,0,0,0,1,1,yes,,pd:0xC62B=write_00b8_pattern_then_copy_ffc0_to_00d5 [copy],kb5652a66acb4
0x00D7,pd,DAT_EXTMEM,0x00D0-0x00D7,pd-001,1,0,1,0,0,0,0,1,1,yes,,pd:0xC62B=write_00b8_pattern_then_copy_ffc0_to_00d5 [copy],kb5652a66acb4
0x00D8,main-ec,DAT_EXTMEM,0x00D8-0x00E0,main-ec-028,12,6,3,2,0,1,2,2,3,no,,bank0:0xD389=store_r7_at_d8_advance_index [state]; bank0:0xD3C8=zero_d0_d7_and_state [writer]; bank0:0xD6D4=xor_00d8_00d9 [math],k8a58ef897906
0x00D9,main-ec,DAT_EXTMEM,0x00D8-0x00E0,main-ec-028,8,4,3,0,0,1,3,2,4,no,,bank0:0xD358=advance_d9_and_set_1500_20 [state]; bank0:0xD389=store_r7_at_d8_advance_index [state]; bank0:0xD3C8=zero_d0_d7_and_state [writer]; bank0:0xD6D4=xor_00d8_00d9 [math],k8a58ef897906
0x00DA,main-ec,DAT_EXTMEM,0x00D8-0x00E0,main-ec-028,6,4,2,0,0,0,2,2,3,no,,bank0:0xD320=tick_dd_da_dc [state]; bank0:0xD358=advance_d9_and_set_1500_20 [state]; bank0:0xD3C8=zero_d0_d7_and_state [writer],k8a58ef897906
0x00DB,main-ec,DAT_EXTMEM,0x00D8-0x00E0,main-ec-028,2,1,0,1,0,0,1,1,1,yes,,bank0:0xD389=store_r7_at_d8_advance_index [state],k8a58ef897906
0x00DC,main-ec,DAT_EXTMEM,0x00D8-0x00E0,main-ec-137,2,1,0,1,0,0,1,1,1,yes,,bank0:0xD320=tick_dd_da_dc [state],ka113ae965a6c
0x00DD,main-ec,DAT_EXTMEM,0x00D8-0x00E0,main-ec-137,5,2,2,1,0,0,1,1,1,yes,,bank0:0xD320=tick_dd_da_dc [state],ka113ae965a6c
0x00DE,main-ec,DAT_EXTMEM,0x00D8-0x00E0,main-ec-028,1,0,1,0,0,0,0,1,1,yes,,bank0:0xD358=advance_d9_and_set_1500_20 [state],k8a58ef897906
0x00DF,main-ec,DAT_EXTMEM,0x00D8-0x00E0,main-ec-028,2,1,0,1,0,0,1,1,1,yes,,bank0:0xD389=store_r7_at_d8_advance_index [state],k8a58ef897906
0x00E0,main-ec,DAT_EXTMEM,0x00D8-0x00E0,main-ec-349,1,0,0,0,0,1,0,0,1,yes,,common:0x10E5=FUN_CODE_10e5,k7fad7a9d894c
0x00E2,pd,DAT_EXTMEM,0x00E2-0x00E2,pd-004,6,6,0,0,0,0,4,0,4,no,,pd:0x0180=dispatch_r5_write_083b_0300 [dispatch]; pd:0xD085=decrement_00e2_and_tail_jump_to_d07b [state]; pd:0xF477=call_0180_if_00e2_is_1 [gate]; pd:0xF79C=ljmp_d085 [forwarder],k6283efa19b12
0x00F5,main-ec,DAT_EXTMEM,0x00F5-0x00F5,main-ec-042,3,1,2,0,0,0,1,2,2,no,,bank0:0xCC3D=init_clear_00f5_and_1304_bit2 [init]; common:0x0C86=FUN_CODE_0c86,kc7f099340bd3
0x00FA,main-ec,DAT_EXTMEM,0x00FA-0x00FC,main-ec-014,1,0,1,0,0,0,0,1,1,yes,,common:0x1059=FUN_CODE_1059,kd674bc23b475
0x00FB,main-ec,DAT_EXTMEM,0x00FA-0x00FC,main-ec-014,1,0,1,0,0,0,0,1,1,yes,,common:0x1059=FUN_CODE_1059,kd674bc23b475
0x00FC,main-ec,DAT_EXTMEM,0x00FA-0x00FC,main-ec-014,2,1,1,0,0,0,1,1,1,yes,,common:0x1059=FUN_CODE_1059,kd674bc23b475
0x00FF,main-ec,DAT_EXTMEM,0x00FF-0x00FF,main-ec-014,2,1,0,0,0,1,1,0,1,yes,,common:0x1059=FUN_CODE_1059,kd674bc23b475
0x0200,main-ec,DAT_EXTMEM,0x0200-0x0200,main-ec-010,1,1,0,0,0,0,1,0,1,yes,,bank0:0xEADA=FUN_CODE_eada,k733571bb7f66
0x0202,main-ec,DAT_EXTMEM,0x0202-0x0203,main-ec-010,1,1,0,0,0,0,1,0,1,yes,,bank0:0xEADA=FUN_CODE_eada,k733571bb7f66
0x0203,main-ec,DAT_EXTMEM,0x0202-0x0203,main-ec-010,1,1,0,0,0,0,1,0,1,yes,,bank0:0xEADA=FUN_CODE_eada,k733571bb7f66
0x0208,pd,DAT_EXTMEM,0x0208-0x020A,pd-001,6,3,1,2,0,0,3,3,3,no,,pd:0xA8AE=event_dispatch_ff80_ffe0 [dispatch]; pd:0xAE9C=write_07d1_then_call_chain [logic]; pd:0xDA44=poll_0208_0209_then_spin [logic],kb5652a66acb4
0x0209,pd,DAT_EXTMEM,0x0208-0x020A,pd-001,7,4,1,2,0,0,3,3,3,no,,pd:0xA8AE=event_dispatch_ff80_ffe0 [dispatch]; pd:0xAE9C=write_07d1_then_call_chain [logic]; pd:0xDA44=poll_0208_0209_then_spin [logic],kb5652a66acb4
0x020A,pd,DAT_EXTMEM,0x0208-0x020A,pd-001,2,0,2,0,0,0,0,2,2,no,,pd:0xA8AE=event_dispatch_ff80_ffe0 [dispatch]; pd:0xAE9C=write_07d1_then_call_chain [logic],kb5652a66acb4
0x0300,both,DAT_EXTMEM,0x0300-0x0300,main-ec-013,3,0,1,0,1,1,0,1,3,no,,bank1:0xC751=zero_0300_03ff_then_set_3fe_3a8_3fb [writer]; pd:0x0180=dispatch_r5_write_083b_0300 [dispatch]; pd:0xF477=call_0180_if_00e2_is_1 [gate],k3fdd14ddea2e
0x0301,pd,DAT_EXTMEM,0x0300-0x0301,pd-004,1,0,1,0,0,0,0,1,1,yes,,pd:0x0180=dispatch_r5_write_083b_0300 [dispatch],k6283efa19b12
0x0308,main-ec,DAT_EXTMEM,0x0308-0x0308,main-ec-013,2,2,0,0,0,0,2,0,2,no,,bank1:0xD37F=scan_table_03de_down_stride2 [logic]; bank1:0xD472=store_r1_to_0514_03ab_if_gap_ok [writer],k3fdd14ddea2e
0x030A,main-ec,DAT_EXTMEM,0x030A-0x030F,main-ec-004,6,5,1,0,0,0,3,1,4,no,,bank1:0x9354=gate_030a_030b_then_8892_887a [gate]; bank1:0xDB0B=FUN_CODE_db0b; bank1:0xDEE8=FUN_CODE_dee8; bank1:0xDEF1=FUN_CODE_def1,kffd18a7555bf
0x030B,main-ec,DAT_EXTMEM,0x030A-0x030F,main-ec-004,4,1,1,0,2,0,1,1,4,no,,bank1:0x9354=gate_030a_030b_then_8892_887a [gate]; bank1:0xDB0B=FUN_CODE_db0b; bank1:0xDEE8=FUN_CODE_dee8; bank1:0xDEF1=FUN_CODE_def1,kffd18a7555bf
0x030C,main-ec,DAT_EXTMEM,0x030A-0x030F,main-ec-004,1,0,1,0,0,0,0,1,1,yes,,bank1:0xDB0B=FUN_CODE_db0b,kffd18a7555bf
0x030D,main-ec,DAT_EXTMEM,0x030A-0x030F,main-ec-004,14,13,1,0,0,0,3,1,4,no,,bank1:0x8BD1=select_probe_address_and_return_carry [logic]; bank1:0xB0D1=step_index_056b_update_0495_0493 [state]; bank1:0xBD45=mask_0491_c0_then_route_to_300x_40xx [unresolved]; bank1:0xDB0B=FUN_CODE_db0b,kffd18a7555bf
0x030E,main-ec,symbol,0x030A-0x030F,main-ec-001,3,0,0,0,3,0,0,0,3,no,SBS_CHARGING_VOLTAGE_0,bank0:0xB12C=manual_ctrl_profile_gate [gate]; bank0:0xB158=charge_target_update [charge-target]; bank0:0xB1F0=charge_stress_update [charge-target],k7497cf885614
0x030F,main-ec,symbol,0x030A-0x030F,main-ec-001,3,0,0,0,3,0,0,0,3,no,SBS_CHARGING_VOLTAGE_1,bank0:0xB12C=manual_ctrl_profile_gate [gate]; bank0:0xB158=charge_target_update [charge-target]; bank0:0xB1F0=charge_stress_update [charge-target],k7497cf885614
0x0314,main-ec,DAT_EXTMEM,0x0314-0x0315,main-ec-001,2,0,0,0,2,0,0,0,2,no,,bank0:0xB12C=manual_ctrl_profile_gate [gate]; bank0:0xB158=charge_target_update [charge-target],k7497cf885614
0x0315,main-ec,DAT_EXTMEM,0x0314-0x0315,main-ec-001,2,2,0,0,0,0,2,0,2,no,,bank0:0xB12C=manual_ctrl_profile_gate [gate]; bank0:0xB158=charge_target_update [charge-target],k7497cf885614
0x0318,main-ec,DAT_EXTMEM,0x0318-0x0319,main-ec-004,14,13,0,0,1,0,9,0,10,no,,bank1:0x9354=gate_030a_030b_then_8892_887a [gate]; bank1:0xAD85=forwarder_to_b33b [forwarder]; bank1:0xB33B=FUN_CODE_b33b; bank1:0xB407=forwarder_to_b40e [forwarder]; bank1:0xB40E=cmp_dptr_to_r2r1 [math]; bank1:0xB415=bump_counter_054d [state]; bank1:0xB41C=store_054d_set_bit_on_10 [state]; bank1:0xB43B=FUN_CODE_b43b; bank1:0xBE10=FUN_CODE_be10; bank1:0xBE91=pick_0f80_0800_0bb0_1800_1f00 [dispatch],kffd18a7555bf
0x0319,main-ec,DAT_EXTMEM,0x0318-0x0319,main-ec-004,14,14,0,0,0,0,10,0,10,no,,bank0:0xB9C6=add_0318_0319_into_r7_r6 [math]; bank1:0xAD85=forwarder_to_b33b [forwarder]; bank1:0xB33B=FUN_CODE_b33b; bank1:0xB407=forwarder_to_b40e [forwarder]; bank1:0xB40E=cmp_dptr_to_r2r1 [math]; bank1:0xB415=bump_counter_054d [state]; bank1:0xB41C=store_054d_set_bit_on_10 [state]; bank1:0xB43B=FUN_CODE_b43b; bank1:0xBE10=FUN_CODE_be10; bank1:0xBE91=pick_0f80_0800_0bb0_1800_1f00 [dispatch],kffd18a7555bf
0x031C,main-ec,DAT_EXTMEM,0x031C-0x031F,main-ec-053,5,4,1,0,0,0,1,1,2,no,,bank1:0xDC52=FUN_CODE_dc52; bank1:0xE656=select_dptr_by_0491_7c0_then_dispatch [unresolved],k894b7ea3b2d6
0x031D,main-ec,DAT_EXTMEM,0x031C-0x031F,main-ec-039,3,3,0,0,0,0,1,0,1,yes,,bank1:0xE5D6=FUN_CODE_e5d6,ka0e531e9f8e4
0x031E,main-ec,DAT_EXTMEM,0x031C-0x031F,main-ec-053,2,1,1,0,0,0,1,1,2,no,,bank1:0xCB80=div_0343_by_31e_shifted_into_03a9 [math]; bank1:0xDC52=FUN_CODE_dc52,k894b7ea3b2d6
0x031F,main-ec,DAT_EXTMEM,0x031C-0x031F,main-ec-039,1,1,0,0,0,0,1,0,1,yes,,bank1:0xE5D6=FUN_CODE_e5d6,ka0e531e9f8e4
0x032A,main-ec,DAT_EXTMEM,0x032A-0x032B,main-ec-004,2,2,0,0,0,0,1,0,1,yes,,bank1:0xDEE8=FUN_CODE_dee8,kffd18a7555bf
0x032B,main-ec,DAT_EXTMEM,0x032A-0x032B,main-ec-004,4,4,0,0,0,0,2,0,2,no,,bank1:0xDEE8=FUN_CODE_dee8; bank1:0xDEF1=FUN_CODE_def1,kffd18a7555bf
