table,addr,file_offset,max_insns,extend,terminator_at_budget,terminator_at_extend,access_at_budget,access_at_extend,moves,verdict
ec-07d6-07d7-sites.csv,0x07D6,0x2ACCE,8,64,max_insns (8) exhausted,flow opcode,read x1,read x1,no,"unchanged: the `access` cell is the same at both budgets, so there is nothing here for a larger budget to be wrong about"
ec-07d6-07d7-sites.csv,0x07D6,0x2B73F,8,64,max_insns (8) exhausted,flow opcode,"write x2, walks 2 consecutive bytes (inc dptr)","write x2, walks 2 consecutive bytes (inc dptr)",no,"unchanged: the `access` cell is the same at both budgets, so there is nothing here for a larger budget to be wrong about"
ec-07d6-07d7-sites.csv,0x07D6,0x2BECB,8,64,max_insns (8) exhausted,flow opcode,"write x2, walks 3 consecutive bytes (inc dptr)","write x4, walks 4 consecutive bytes (inc dptr)",yes,"B: no store to DPL/DPH precedes the first extra `movx`, so the larger budget counts this site's own further accesses and the committed cell is short rather than wrong"
ec-07d6-07d7-sites.csv,0x07D6,0x2C6EB,8,64,max_insns (8) exhausted,DPTR reloaded,read x1,read x2,yes,"A: `mov 0x82,…` (DPL) at 0x2C6F7 precedes the extra read at 0x2C6FB, and walk()'s MOV_DPTR guard cannot see that form, so the larger budget files an indexed access under the site register"
ec-07d6-07d7-sites.csv,0x07D6,0x2F465,8,64,max_insns (8) exhausted,flow opcode,"read x1, write x1","read x1, write x1",no,"unchanged: the `access` cell is the same at both budgets, so there is nothing here for a larger budget to be wrong about"
ec-07d6-07d7-sites.csv,0x07D7,0x2A0FB,8,64,max_insns (8) exhausted,DPTR reloaded,write x1,"read x1, write x1",yes,"A: `mov 0x83,…` (DPH) at 0x2A10B precedes the extra read at 0x2A10D, and walk()'s MOV_DPTR guard cannot see that form, so the larger budget files an indexed access under the site register"
ec-07d6-07d7-sites.csv,0x07D7,0x2ABFF,8,64,max_insns (8) exhausted,flow opcode,read x1,read x2,yes,"A: `mov 0x83,…` (DPH) at 0x2AC0E precedes the extra read at 0x2AC10, and walk()'s MOV_DPTR guard cannot see that form, so the larger budget files an indexed access under the site register"
ec-0x07d0-sites.csv,0x07D0,0x23645,8,64,max_insns (8) exhausted,flow opcode,read x1,read x1,no,"unchanged: the `access` cell is the same at both budgets, so there is nothing here for a larger budget to be wrong about"
ec-0x07d0-sites.csv,0x07D0,0x2AD3C,8,64,max_insns (8) exhausted,flow opcode,read x1,read x1,no,"unchanged: the `access` cell is the same at both budgets, so there is nothing here for a larger budget to be wrong about"
ec-0x07d0-sites.csv,0x07D0,0x2C2FA,8,64,max_insns (8) exhausted,flow opcode,write x1,"read x1, write x1",yes,"A: `mov 0x83,…` (DPH) at 0x2C30A precedes the extra read at 0x2C30C, and walk()'s MOV_DPTR guard cannot see that form, so the larger budget files an indexed access under the site register"
ec-0x07d0-sites.csv,0x07D0,0x2E8D4,8,64,max_insns (8) exhausted,flow opcode,write x1,"read x1, write x1",yes,"B: no store to DPL/DPH precedes the first extra `movx`, so the larger budget counts this site's own further accesses and the committed cell is short rather than wrong"
ec-0x07d1-sites.csv,0x07D1,0x276F9,8,64,max_insns (8) exhausted,flow opcode,read x1,read x1,no,"unchanged: the `access` cell is the same at both budgets, so there is nothing here for a larger budget to be wrong about"
ec-0x07d1-sites.csv,0x07D1,0x28A4A,8,64,max_insns (8) exhausted,flow opcode,"write x3, walks 3 consecutive bytes (inc dptr)","write x3, walks 3 consecutive bytes (inc dptr)",no,"unchanged: the `access` cell is the same at both budgets, so there is nothing here for a larger budget to be wrong about"
ec-0x07d1-sites.csv,0x07D1,0x28B8B,8,64,max_insns (8) exhausted,flow opcode,read x1,read x2,yes,"A: `mov 0x83,…` (DPH) at 0x28B9A precedes the extra read at 0x28B9C, and walk()'s MOV_DPTR guard cannot see that form, so the larger budget files an indexed access under the site register"
ec-0x07d1-sites.csv,0x07D1,0x296E8,8,64,max_insns (8) exhausted,flow opcode,read x1,read x1,no,"unchanged: the `access` cell is the same at both budgets, so there is nothing here for a larger budget to be wrong about"
ec-0x07d1-sites.csv,0x07D1,0x2973C,8,64,max_insns (8) exhausted,flow opcode,read x1,read x1,no,"unchanged: the `access` cell is the same at both budgets, so there is nothing here for a larger budget to be wrong about"
ec-0x07d1-sites.csv,0x07D1,0x2ACE1,8,64,max_insns (8) exhausted,flow opcode,read x1,read x1,no,"unchanged: the `access` cell is the same at both budgets, so there is nothing here for a larger budget to be wrong about"
ec-0x07d1-sites.csv,0x07D1,0x2AD2A,8,64,max_insns (8) exhausted,flow opcode,read x1,read x1,no,"unchanged: the `access` cell is the same at both budgets, so there is nothing here for a larger budget to be wrong about"
ec-0x07d1-sites.csv,0x07D1,0x2B344,8,64,max_insns (8) exhausted,flow opcode,read x1,"read x2, walks 2 consecutive bytes (inc dptr)",yes,"A: `mov 0x83,…` (DPH) at 0x2B354 precedes the extra read at 0x2B357, and walk()'s MOV_DPTR guard cannot see that form, so the larger budget files an indexed access under the site register"
ec-0x07d1-sites.csv,0x07D1,0x2B370,8,64,max_insns (8) exhausted,flow opcode,read x1,read x2,yes,"A: `mov 0x83,…` (DPH) at 0x2B37F precedes the extra read at 0x2B381, and walk()'s MOV_DPTR guard cannot see that form, so the larger budget files an indexed access under the site register"
ec-0x07d1-sites.csv,0x07D1,0x2B38E,8,64,max_insns (8) exhausted,flow opcode,"read x2, walks 2 consecutive bytes (inc dptr)","read x2, walks 2 consecutive bytes (inc dptr)",no,"unchanged: the `access` cell is the same at both budgets, so there is nothing here for a larger budget to be wrong about"
manual-fan-ctrl-0751-sites.csv,0x0751,0x0A818,8,64,max_insns (8) exhausted,flow opcode,"read x2, write x2","read x2, write x2",no,"unchanged: the `access` cell is the same at both budgets, so there is nothing here for a larger budget to be wrong about"
xdata-0400-045f-sites.csv,0x045A,0x0DD4A,8,64,max_insns (8) exhausted,flow opcode,"read x2, write x1","read x2, write x2",yes,"B: no store to DPL/DPH precedes the first extra `movx`, so the larger budget counts this site's own further accesses and the committed cell is short rather than wrong"
